time,luminosity,radius,temperature
0.43252999999094754,1.8862905695426055e+41,157204511836498.56,10173.524012590098
0.47992476237214116,2.123516399371631e+41,169102710878265.88,10104.061098745193
0.5273195247533348,2.360742229200657e+41,181000909920033.16,10034.598184900287
0.5747142871345283,2.597968059029682e+41,192899108961800.44,9965.135271055384
0.622109049515722,2.8351938888587078e+41,204797308003567.75,9895.672357210478
0.6695038118969155,3.072419718687733e+41,216695507045335.03,9826.209443365573
0.7168985742781091,3.3096455485167583e+41,228593706087102.3,9756.746529520668
0.7642933366593028,3.546871378345784e+41,240491905128869.62,9687.283615675762
0.8116880990404963,3.78409720817481e+41,252390104170636.9,9617.820701830859
0.8590828614216899,4.0213230380038346e+41,264288303212404.2,9548.357787985953
0.9064776238028835,4.258548867832861e+41,276186502254171.5,9478.894874141048
0.9538723861840771,4.495774697661886e+41,288084701295938.75,9409.431960296142
1.0012671485652707,4.733000527490911e+41,299982900337706.06,9339.969046451239
1.0486619109464643,4.970226357319937e+41,311881099379473.4,9270.506132606333
1.096056673327658,5.207452187148963e+41,323779298421240.7,9201.043218761428
1.1434514357088514,5.444678016977988e+41,335677497463007.94,9131.580304916522
1.190846198090045,5.681903846807014e+41,347575696504775.25,9062.117391071617
1.2382409604712388,5.919129676636039e+41,359473895546542.56,8992.654477226713
1.2856357228524322,6.1563555064650645e+41,371372094588309.8,8923.191563381808
1.3330304852336259,6.39358133629409e+41,383270293630077.1,8853.728649536903
1.3804252476148196,6.613799930379003e+41,393563845837420.8,8798.452704720276
1.427820009996013,6.701907800623192e+41,392870515797670.56,8835.348146438137
1.4752147723772067,6.743503838032292e+41,393137727040568.94,8845.778936804072
1.5226095347584003,6.785099875441391e+41,393404938283467.3,8856.209727170006
1.5700042971395938,6.82669591285049e+41,393672149526365.6,8866.640517535941
1.6173990595207874,6.8682919502595905e+41,393939360769264.0,8877.071307901877
1.664793821901981,6.90988798766869e+41,394206572012162.3,8887.502098267812
1.7121885842831748,6.951484025077789e+41,394473783255060.7,8897.932888633748
1.7595833466643682,6.99308006248689e+41,394740994497959.06,8908.363678999684
1.8069781090455619,7.034676099895989e+41,395008205740857.4,8918.794469365619
1.8543728714267556,7.050346280588894e+41,397121190490784.3,8902.154450557357
1.901767633807949,7.056401451206251e+41,399918709258681.56,8875.474798119532
1.9491623961891427,7.062456621823609e+41,402716228026578.8,8848.795145681708
1.9965571585703363,7.068511792440968e+41,405513746794476.06,8822.115493243882
2.04395192095153,7.074566963058325e+41,408311265562373.3,8795.435840806058
2.0913466833327234,7.080622133675683e+41,411108784330270.56,8768.756188368234
2.138741445713917,7.08667730429304e+41,413906303098167.8,8742.07653593041
2.1861362080951103,7.092732474910398e+41,416703821866065.06,8715.396883492585
2.2335309704763042,7.098787645527755e+41,419501340633962.3,8688.71723105476
2.280925732857498,7.104842816145114e+41,422298859401859.6,8662.037578616935
2.3283204952386916,7.110897986762472e+41,425096378169756.8,8635.357926179111
2.375715257619885,7.11695315737983e+41,427893896937654.06,8608.678273741287
2.4231100200010784,7.123008327997187e+41,430691415705551.3,8581.99862130346
2.4705047823822723,7.129063498614544e+41,433488934473448.56,8555.318968865637
2.517899544763466,7.135118669231902e+41,436286453241345.8,8528.639316427812
2.5652943071446592,7.14117383984926e+41,439083972009243.06,8501.959663989988
2.612689069525853,7.147229010466618e+41,441881490777140.3,8475.280011552162
2.6600838319070466,7.153284181083976e+41,444679009545037.56,8448.600359114338
2.70747859428824,7.159339351701333e+41,447476528312934.8,8421.920706676514
2.754873356669434,7.165394522318691e+41,450274047080832.06,8395.24105423869
2.8022681190506273,7.171449692936048e+41,453071565848729.3,8368.561401800865
2.8496628814318212,7.720997528198024e+41,457875220709406.75,8447.288783893486
2.8970576438130147,8.427724265825833e+41,463259053168738.25,8556.50004013364
2.944452406194208,9.134451003453644e+41,468642885628069.8,8665.711296373793
2.991847168575402,9.84117774108146e+41,474026718087401.44,8774.922552613947
3.0392419309565954,1.054790447870927e+42,479410550546733.0,8884.133808854102
3.086636693337789,1.125463121633708e+42,484794383006064.5,8993.345065094254
3.134031455718983,1.1961357953964897e+42,490178215465396.1,9102.556321334408
3.1814262181001762,1.2668084691592707e+42,495562047924727.7,9211.767577574561
3.2288209804813697,1.2900035473838006e+42,500225829375618.06,9225.811833520185
3.2762157428625636,1.2826015227443827e+42,504425571430182.9,9178.525382544916
3.323610505243757,1.2751994981049649e+42,508625313484747.6,9131.238931569647
3.3710052676249505,1.2677974734655472e+42,512825055539312.4,9083.952480594378
3.4184000300061443,1.2603954488261293e+42,517024797593877.2,9036.66602961911
3.465794792387338,1.2529934241867114e+42,521224539648441.94,8989.37957864384
3.5131895547685312,1.2455913995472936e+42,525424281703006.7,8942.093127668571
3.560584317149725,1.2381893749078757e+42,529624023757571.5,8894.806676693303
3.6079790795309186,1.230787350268458e+42,533823765812136.25,8847.520225718035
3.655373841912112,1.2233853256290401e+42,538023507866701.0,8800.233774742766
3.702768604293306,1.2159833009896223e+42,542223249921265.75,8752.947323767497
3.7501633666744993,1.2085812763502044e+42,546422991975830.56,8705.660872792228
3.797558129055693,1.2011792517107867e+42,550622734030395.3,8658.37442181696
3.8449528914368867,1.1937772270713688e+42,554822476084960.1,8611.08797084169
3.89234765381808,1.186375202431951e+42,559022218139524.9,8563.801519866422
3.9397424161992736,1.1789731777925333e+42,563221960194089.6,8516.515068891154
3.9871371785804675,1.1715711531531154e+42,567421702248654.4,8469.228617915885
4.034531940961661,1.1641691285136975e+42,571621444303219.1,8421.942166940617
