SED t alpha1 alpha2
0 4.0 -0.294907480157 2.32173934221 
2 5.1 -0.836134385061 4.52093913636 
3 7.12 -1.63012761244 1.92429444113 
4 9.02 -1.00397193583 2.47310781935 
8 17.0 -0.663633841041 1.20038325427 
9 21.2 -0.933188592347 1.03020601817 
10 26.2 -1.03401063925 1.14006446218 
11 36.1 -0.932769105513 1.15265104714 
12 46.1 -0.925819546833 1.5126495508 
13 59.0 1.10913467257 -1.27986376097 
14 93.7 -1.05113231306 1.30060223761 
17 415.0 -3.2874022088 0.299503619782 
