SED freq flux
0 2.35 1010.75154167
0 2.36 1015.21969163
0 2.37 1019.68857551
0 2.38 1024.15819032
0 2.39 1028.62853311
0 2.4 1033.09960095
0 2.41 1037.57139093
0 2.42 1042.04390018
0 2.43 1046.51712585
0 2.44 1050.99106508
0 2.45 1055.46571508
0 2.46 1059.94107306
0 2.47 1064.41713624
0 2.48 1068.89390189
0 2.49 1073.37136728
0 2.5 1077.84952971
0 2.51 1082.32838649
0 2.52 1086.80793498
0 2.53 1091.28817252
0 2.54 1095.76909651
0 2.55 1100.25070435
0 2.56 1104.73299345
0 2.57 1109.21596126
0 2.58 1113.69960523
0 2.59 1118.18392286
0 2.6 1122.66891164
0 2.61 1127.15456909
0 2.62 1131.64089274
0 2.63 1136.12788015
0 2.64 1140.6155289
0 2.65 1145.10383658
0 2.66 1149.59280079
0 2.67 1154.08241916
0 2.68 1158.57268935
0 2.69 1163.063609
0 2.7 1167.5551758
0 2.71 1172.04738745
0 2.72 1176.54024166
0 2.73 1181.03373615
0 2.74 1185.52786868
0 2.75 1190.022637
0 2.76 1194.51803889
0 2.77 1199.01407215
0 2.78 1203.51073458
0 2.79 1208.00802401
0 2.8 1212.50593827
0 2.81 1217.00447523
0 2.82 1221.50363275
0 2.83 1226.00340871
0 2.84 1230.50380102
0 2.85 1235.00480759
0 2.86 1239.50642635
0 2.87 1244.00865524
0 2.88 1248.51149221
0 2.89 1253.01493524
0 2.9 1257.51898232
0 2.91 1262.02363143
0 2.92 1266.52888059
0 2.93 1271.03472782
0 2.94 1275.54117116
0 2.95 1280.04820867
0 2.96 1284.55583841
0 2.97 1289.06405844
0 2.98 1293.57286687
0 2.99 1298.0822618
0 3.0 1302.59224133
0 3.01 1307.1028036
0 3.02 1311.61394674
0 3.03 1316.12566891
0 3.04 1320.63796827
0 3.05 1325.15084299
0 3.06 1329.66429126
0 3.07 1334.17831128
0 3.08 1338.69290126
0 3.09 1343.20805941
0 3.1 1347.72378398
0 3.11 1352.2400732
0 3.12 1356.75692533
0 3.13 1361.27433863
0 3.14 1365.79231139
0 3.15 1370.31084188
0 3.16 1374.82992841
0 3.17 1379.34956929
0 3.18 1383.86976283
0 3.19 1388.39050737
0 3.2 1392.91180123
0 3.21 1397.43364279
0 3.22 1401.95603038
0 3.23 1406.47896238
0 3.24 1411.00243718
0 3.25 1415.52645316
0 3.26 1420.05100872
0 3.27 1424.57610227
0 3.28 1429.10173223
0 3.29 1433.62789703
0 3.3 1438.15459509
0 3.31 1442.68182488
0 3.32 1447.20958485
0 3.33 1451.73787345
0 3.34 1456.26668917
0 3.35 1460.79603049
0 3.36 1465.3258959
0 3.37 1469.85628389
0 3.38 1474.38719299
0 3.39 1478.9186217
0 3.4 1483.45056856
0 3.41 1487.9830321
0 3.42 1492.51601085
0 3.43 1497.04950339
0 3.44 1501.58350825
0 3.45 1506.11802402
0 3.46 1510.65304927
0 3.47 1515.18858258
0 3.48 1519.72462254
0 3.49 1524.26116777
0 3.5 1528.79821685
0 3.51 1533.33576842
0 3.52 1537.8738211
0 3.53 1542.4123735
0 3.54 1546.95142429
0 3.55 1551.49097209
0 3.56 1556.03101558
0 3.57 1560.57155339
0 3.58 1565.11258422
0 3.59 1569.65410673
0 3.6 1574.1961196
0 3.61 1578.73862153
0 3.62 1583.28161122
0 3.63 1587.82508736
0 3.64 1592.36904868
0 3.65 1596.91349388
0 3.66 1601.4584217
0 3.67 1606.00383087
0 3.68 1610.54972012
0 3.69 1615.09608821
0 3.7 1619.64293388
0 3.71 1624.1902559
0 3.72 1628.73805302
0 3.73 1633.28632403
0 3.74 1637.8350677
0 3.75 1642.38428282
0 3.76 1646.93396817
0 3.77 1651.48412256
0 3.78 1656.03474479
0 3.79 1660.58583367
0 3.8 1665.13738801
0 3.81 1669.68940665
0 3.82 1674.2418884
0 3.83 1678.7948321
0 3.84 1683.3482366
0 3.85 1687.90210073
0 3.86 1692.45642336
0 3.87 1697.01120333
0 3.88 1701.56643952
0 3.89 1706.12213079
0 3.9 1710.67827602
0 3.91 1715.23487409
0 3.92 1719.79192388
0 3.93 1724.3494243
0 3.94 1728.90737423
0 3.95 1733.46577258
0 3.96 1738.02461826
0 3.97 1742.58391018
0 3.98 1747.14364726
0 3.99 1751.70382843
0 4.0 1756.26445261
0 4.01 1760.82551875
0 4.02 1765.38702578
0 4.03 1769.94897265
0 4.04 1774.5113583
0 4.05 1779.07418171
0 4.06 1783.63744181
0 4.07 1788.20113759
0 4.08 1792.76526802
0 4.09 1797.32983206
0 4.1 1801.8948287
0 4.11 1806.46025693
0 4.12 1811.02611573
0 4.13 1815.59240411
0 4.14 1820.15912105
0 4.15 1824.72626558
0 4.16 1829.29383669
0 4.17 1833.8618334
0 4.18 1838.43025473
0 4.19 1842.9990997
0 4.2 1847.56836734
0 4.21 1852.13805668
0 4.22 1856.70816677
0 4.23 1861.27869664
0 4.24 1865.84964534
0 4.25 1870.42101191
0 4.26 1874.99279542
0 4.27 1879.56499492
0 4.28 1884.13760948
0 4.29 1888.71063816
0 4.3 1893.28408003
0 4.31 1897.85793418
0 4.32 1902.43219968
0 4.33 1907.00687562
0 4.34 1911.58196109
0 4.35 1916.15745517
0 4.36 1920.73335697
0 4.37 1925.30966559
0 4.38 1929.88638013
0 4.39 1934.4634997
0 4.4 1939.04102341
0 4.41 1943.61895039
0 4.42 1948.19727975
0 4.43 1952.77601062
0 4.44 1957.35514212
0 4.45 1961.93467339
0 4.46 1966.51460357
0 4.47 1971.09493179
0 4.48 1975.6756572
0 4.49 1980.25677895
0 4.5 1984.83829618
0 4.51 1989.42020806
0 4.52 1994.00251375
0 4.53 1998.58521239
0 4.54 2003.16830317
0 4.55 2007.75178525
0 4.56 2012.33565781
0 4.57 2016.91992001
0 4.58 2021.50457105
0 4.59 2026.0896101
0 4.6 2030.67503636
0 4.61 2035.260849
0 4.62 2039.84704724
0 4.63 2044.43363026
0 4.64 2049.02059727
0 4.65 2053.60794747
0 4.66 2058.19568007
0 4.67 2062.78379428
0 4.68 2067.37228931
0 4.69 2071.96116438
0 4.7 2076.55041872
0 4.71 2081.14005155
0 4.72 2085.73006209
0 4.73 2090.32044958
0 4.74 2094.91121325
0 4.75 2099.50235233
0 4.76 2104.09386607
0 4.77 2108.68575372
0 4.78 2113.27801451
0 4.79 2117.87064769
0 4.8 2122.46365253
0 4.81 2127.05702827
0 4.82 2131.65077418
0 4.83 2136.24488951
0 4.84 2140.83937353
0 4.85 2145.43422551
0 4.86 2150.02944472
0 4.87 2154.62503043
0 4.88 2159.22098192
0 4.89 2163.81729847
0 4.9 2168.41397936
0 4.91 2173.01102387
0 4.92 2177.6084313
0 4.93 2182.20620094
