points
30
21
27
30
38
30
27
12
26
17
24
26
28
19
34
11
17
34
23
42
20
25
26
35
19
24
18
24
36
30
43
32
39
36
33
31
31
22
14
29
30
28
31
25
24
19
30
25
25
27
23
28
24
27
29
39
26
29
35
36
32
32
33
29
13
23
30
36
25
14
18
32
20
23
39
21
30
25
13
19
23
29
33
25
23
30
33
29
23
25
25
20
31
32
25
28
32
25
28
32
20
21
23
21
13
31
17
21
31
35
31
19
31
15
21
27
29
22
15
36
18
22
17
32
32
39
40
19
34
22
37
28
29
16
20
22
19
31
29
17
30
29
14
22
29
36
34
38
30
35
38
26
33
33
24
28
50
30
33
26
29
35
27
32
37
29
48
34
22
18
18
23
32
32
24
30
13
32
37
32
29
28
30
31
30
34
36
18
33
31
22
19
32
41
13
29
32
36
36
16
33
34
12
31
28
35
31
28
18
29
21
19
19
29
40
59
36
29
44
36
42
39
47
44
49
36
27
37
32
34
60
50
23
34
27
55
54
39
28
28
47
34
24
44
35
44
41
17
32
41
13
34
29
27
12
18
35
40
40
14
32
28
42
29
38
37
30
21
35
16
30
23
37
49
24
23
39
32
45
27
37
21
38
32
31
32
17
36
27
33
21
30
25
21
29
40
31
25
15
26
27
24
17
14
34
33
22
19
41
26
27
25
26
39
50
16
33
27
36
32
24
20
23
26
46
24
5
9
28
16
31
37
21
18
32
27
25
33
28
32
21
23
15
37
30
30
26
34
14
42
9
17
8
27
28
31
29
18
43
25
34
26
29
13
37
31
27
34
32
15
22
28
23
23
26
9
