name,host,type,x,y,z,t,log10lum
SN1987A,LMC,II Pec,0.0060102548267205215,-0.03514877984872166,-0.022227753319033223,1987.2323768846056,8.416
SN2011fe,NGC 5457,Ia,-0.3625791687352129,1.708216787753958,3.0056400443018205,2011.7323768846056,9.208000000000002
SN2003dh,A104450+2131,Ic BL,-274.2070807073628,-206.52824931568617,611.722662900008,2003.3348756981711,12.625200000000001
CSS141118:092034+504148,SDSS J092034.44+504148.7,II P,-103.69108533270918,23.20670104593117,102.51789428691993,2016.3935676997773,9.616
SN1993J,NGC 3031,IIb,-1.6898857645439902,1.3131801550392437,1.8548595959220378,1993.3266619209287,8.856
SN2012fr,NGC 1365,Ia,-7.174700392622088,-11.452260965836432,-19.01622229405493,2012.9072573285146,9.975999999999999
SN2002ap,NGC 628,Ic BL,-4.764154596955619,4.210824419407944,-6.527495261476244,2002.1627331800094,9.02
SN2013dy,NGC 7250,Ia,-1.1334964183115916,16.298953751776818,-3.9340137584210035,2013.610712590808,9.248400000000002
SN2009ip,NGC 7259,IIn,12.936541527037495,4.940689085474336,-21.618783194826804,2012.6490435512721,9.933600000000002
SN2011dh,NGC 5194,IIb,-0.658099940562672,2.5022500775264835,6.591866553365081,2011.5027379257474,9.156800000000002
SN2013ej,NGC 628,II-P/L,-4.891567552188123,4.30318208881049,-6.6815144218293385,2013.6517814770195,9.248
SN2012dn,ESO 462-G16,Ia,36.22083646631094,9.609192220030891,-22.98189790501157,2012.6052367393129,9.738399999999999
SN2012aw,NGC 3351,II P,-3.6556364745362973,-5.028832264170374,9.335322472477873,2012.2938068119593,9.232800000000001
SN1999ee,IC 5179,Ia,22.10144908663878,2.5201299100305583,-32.890331256492544,1999.8524988135655,9.336000000000002
SN2000cx,NGC 524,Ia Pec,-12.014094334378456,11.398576374261483,-21.56893669783564,2000.62987807104,9.616
SN2014J,NGC 3034,Ia,-1.7390095871648241,1.3868837710840345,1.9036629937691731,2014.1408297740297,9.256
SN1999em,NGC 1637,II P,-6.128512509209346,-2.1775836195028884,-3.7582635963386077,1999.9127331800094,8.536000000000001
SN2005cf,MCG -01-39-03,Ia,18.577070283567952,-1.6867748263408924,15.567103253146621,2005.4933285875954,9.376
SN1998bu,NGC 3368,Ia,-3.0579705487568143,-4.273276659444005,8.097614353107941,1998.4413079983938,9.296000000000001
ASASSN-14ha,NGC 1566,II,-1.5616748360438581,-15.672576392192681,-14.889482362923632,2014.7773792574746,9.698
SN2007af,NGC 5584,Ia,10.28427501017983,-2.737980735458807,15.119058680876362,2007.2527379257474,9.216
SN2010jl,UGC 5189A,IIn,-24.646430636850084,-24.944749846058865,31.84973863501401,2010.9248804439092,11.016
SN2015bn,SDSS J113341.53+004333.2,Ic,-24.739834220631863,-254.97777669766688,404.751221077553,2015.2077355528786,11.045600000000002
PTF12hsx,SDSS J005503.33+421954.0,II,-42.45634765047697,63.79107736612628,-28.704330188713943,2012.7049976271312,8.776
SN2016bkv,NGC 3184,II,-4.89629247602924,0.1430403291134148,7.165779944286155,2016.3074964406965,8.296000000000001
SN2015F,NGC 2442,Ia,4.249085483319197,-21.32189205393007,-8.5659564630504,2015.274641331727,9.416
SN2016bln,NGC 5221,Ia-91T,27.412119920932227,-8.70698308126925,95.95138613304263,2016.344285036323,9.80716
SN2009dc,UGC 10064,Ia Pec,44.81270841140007,39.567704562437115,71.10098483483024,2009.3579746650603,10.0488
SN2016dxj,nan,Ia,233.67231016994862,206.82819756052754,247.22424539370212,2016.3771401452925,10.856000000000002
SN2005bf,MCG +00-27-05,Ib,-22.637534956849763,-54.82031906939934,55.83936018103217,2005.3470229620705,9.601759999999999
SN2004eo,NGC 6928,Ia,29.15195241517765,40.37235707980495,-15.485446493900659,2004.7965447377067,9.296000000000001
SN2002bo,NGC 3190,Ia,-10.512413757772633,-6.838168778810262,17.8090203267231,2002.274641331727,9.356
SN2004et,NGC 6946,II,-0.448902029059302,4.471929618526461,0.9224290999493184,2004.8239239951813,9.096000000000002
SN2007gr,NGC 1058,Ic,-7.6133948621734415,5.058646259951031,-3.3937525547660323,2007.7077355528786,9.096000000000002
SN2018bac,nan,Ia,-67.88190599540334,-35.754319869629,139.95663788255592,2018.385353922535,9.52
SN2019mh,SDSS J120236.32+043259.7,II,2.1275286131701012,-34.76465554550596,73.3301401857824,2019.1079746650603,9.26276
SN1991T,NGC 4527,Ia-91T,1.9806297811768845,-4.7561279974646595,11.145327142180342,1991.36892636805,9.724000000000002
SN2014cx,NGC 337,II P,-5.031371519755111,6.190898564504062,-22.333820766787742,2014.755475851495,9.428
SN2016coi,UGC 11868,Ic BL,3.4941429180508945,13.416113844675301,-7.4860750890552845,2016.490590661848,8.9324
SN2016X,UGC 8041,II P,4.9710471695633665,-7.090448858961726,16.962852698095013,2016.1380918482823,9.429599999999999
SN2012ht,NGC 3447,Ia,-5.060073035628248,-5.532145731972319,13.429124868657114,2013.0492826634543,9.127600000000001
SN2006jc,UGC 4904,Ibn,-16.69803836399958,0.10031951488884161,16.291493733840213,2006.8579746650603,9.456000000000001
SN2005ke,NGC 1371,Ia Pec,-12.174553140066347,-9.850395945386627,-21.039454993575184,2005.9522597013836,9.176
SN2006X,NGC 4321,Ia,0.07096207287107337,-3.534438199519702,15.173724600894545,2006.1776183696566,9.296000000000001
iPTF13bvn,NGC 5806,Ib,12.419484126956222,-0.19973071082938382,14.9020671320026,2013.5438068119593,8.591999999999999
SN2013ab,NGC 5669,II P,11.29202851120063,0.3805997049861327,20.011769254446737,2013.2132114043734,9.308000000000002
SN2008ax,NGC 4490,IIb,-0.9642662328492886,0.8697112799350111,4.805776126133814,2008.2582137772424,8.496
SN2005cs,NGC 5194,II,-0.5562395305003274,2.1017586885148454,5.5416864568761985,2005.5766619209287,8.376
SN2013fs,NGC 7610,II P,0.5875852087631932,35.15455197312988,-37.13509821261225,2013.8524988135655,9.702480000000001
SN2008hv,NGC 2765,Ia,-34.22846732429662,-36.27094205705972,30.698541961988155,2009.005475851495,9.752920000000001
SN1999ex,IC 5179,Ib,22.106233535544874,2.5168414001942914,-32.887367557965874,1999.9413079983938,8.736000000000002
SN2003du,UGC 9391,Ia,-3.716703242652521,18.80539408573596,25.641186221749482,2003.3935676997773,9.696000000000002
SN2001el,NGC 1448,Ia,-2.8897939343545636,-8.64460872169898,-11.417478593872456,2001.7965447377067,9.296000000000001
SN2016gkg,NGC 613,IIb,-2.339198897825008,-2.7117493284473744,-20.955083276684377,2016.804758514949,9.096000000000002
SN1994D,NGC 4526,Ia,1.3004262662346928,-3.5438931152097783,10.451216990062722,1994.2691654802322,9.624000000000002
ASASSN-14dq,UGC 11860,II,7.293881868249617,40.52500133512574,-18.10315200682313,2014.6052367393129,9.0184
ASASSN-14lp,NGC 4666,Ia,5.038493704045297,-8.890444138542266,19.523223637357038,2015.024641331727,9.8324
LSQ12gdj,ESO 472-G007,Ia,23.676751963589826,17.36431062212194,-129.48899398310323,2012.935832146899,10.296000000000001
SN2017eaw,NGC 6946,II P,-0.05635135528064514,0.5604106428637796,0.11673544373580311,2017.4549976271312,6.580000000000002
SN2013aa,NGC 5643,Ia,13.045224737945482,-10.412763806735637,4.469426941739287,2013.2022597013836,9.8808
SN2019kg,VIII Zw 246,Ia,-64.22314577949258,-72.12666132868304,325.51141668734016,2019.1052367393129,10.262039999999999
SN1999by,NGC 2841,Ia Pec,-8.92548969917247,2.0746184174213145,8.885959034529815,1999.415471105757,8.996
SN2004dj,NGC 2403,II P,-2.597655888632925,1.4652372754686527,1.6688450627491545,2004.6682090315044,8.696000000000002
SN2005el,NGC 1819,Ia,-48.970898825330174,-14.212775229530584,-17.94636092556852,2005.8184481436863,9.376
SN2006jd,UGC 4179,IIn,-55.48899878564873,-47.31913540730433,20.98790136231368,2006.8661884423027,10.776
SN2017ckc,SDSS J142836.23+164104.6,Ia,94.33032364030362,21.8438355793973,209.78723889975169,2017.3184481436863,9.336000000000002
SN2019yb,nan,Ia,-92.12342994883318,-30.585928451127998,213.55805010977917,2019.135353922535,9.536000000000001
SN1998bw,ESO 184-G82,Ic BL,31.405619514377005,-8.41919420099053,-17.08272893565287,1998.409995254262,9.656
SN2001V,NGC 3987,Ia,-9.407733588023104,-7.598716752975609,55.61723381262422,2001.2186872558684,9.936000000000002
SN2018hti,nan,SLSN-I,-223.49779707823114,18.989688871878016,-147.97633857499807,2018.9221425181618,10.216000000000001
PTF12dam,nan,SLSN-I,17.23355346712742,201.75176306288125,405.33864822704527,2012.360712590808,11.007200000000001
SN2003cg,NGC 3169,Ia,-7.87997584509542,-12.710859443608161,15.29902675840168,2003.3074964406965,9.216
SN2013gh,NGC 7183,Ia,19.64843722788457,14.114687050726678,-29.275353963383033,2013.6885700726464,9.575999999999999
SN2007le,NGC 7721,Ia,1.4939965358549652,8.223379751217212,-16.492203800785994,2007.86892636805,9.056000000000001
SN2005hc,MCG +00-06-03,Ia,-88.9109661050396,39.82662441890638,-161.12337215401436,2005.8661884423027,9.588
SN1998S,NGC 3877,IIn,-5.191851724137954,2.907888043655314,13.342707715301811,1998.255475851495,9.575999999999999
iPTF13z,nan,IIn,78.66134906167711,57.016101012806985,102.00570831040851,2013.1694045924141,9.036000000000001
SN1972E,NGC 5253,Ia,1.6089333845353928,-1.617949841269351,1.3216275605259145,1972.4330942211516,9.656
SN2013df,NGC 4414,IIb,-1.2189935915092414,0.11793713450887511,10.249526421388643,2013.5191654802322,8.448400000000001
SN2006D,MCG -01-33-34,Ia,12.168562313841722,-18.458691697274087,29.44133068056455,2006.1134505165553,9.415600000000001
SN2005am,NGC 2811,Ia,-11.966816906532475,-27.13894527809804,12.049900534450131,2005.2269010331108,9.456000000000001
SN2017hnp,nan,Ia-91T,2.3804541917609967,303.9386645720195,-536.1060193148392,2017.8826159967875,10.057200000000002
SN2005M,NGC 2930,Ia,-58.43657508740849,-29.63801992566235,68.36712830010664,2005.135353922535,9.496
SN2015L,A220215-6139,TDE,578.7076504674933,-333.15293295021974,-680.6514836804711,2015.5383309604645,11.866
SN2016dxv,nan,Ia,42.400565459614626,68.17720543901657,31.51558270737442,2016.3908297740297,9.496
PS15ahs,MCG +07-37-11,Ia,40.155692587735395,110.94945834409246,60.88715361744889,2015.4221425181618,10.136000000000003
SN2005eq,MCG -01-09-06,Ia,-66.7273807471422,-8.94224290271058,-85.34374599930582,2005.8321377724237,9.504
SN2007on,NGC 1404,Ia,-5.711139588658055,-8.768477021753155,-14.172141972125212,2007.930356295404,9.296000000000001
PTF11iqb,NGC 151,IIn,-5.363699789871451,15.677213237805226,-51.3052956498514,2011.6463056255247,10.132
SN2006T,NGC 3054,IIb,-4.742517882130408,-27.463788223928066,11.3356358921274,2006.165471105757,8.975999999999999
SN2017ein,NGC 3938,Ic,-3.697420278576785,1.8156322103920406,10.914809165852228,2017.485114810353,8.2828
SN2008D,NGC 2770,Ib,-18.338906906646898,-3.746844265685997,16.965288882406295,2008.1134505165553,8.936000000000002
SN2007S,UGC 5378,Ia,-23.2942695148052,-32.49426749333549,37.78515091891405,2007.1627331800094,9.336000000000002
SN2007C,NGC 4981,Ib,7.471083039937663,-8.70713662659058,16.89990309731198,2007.1024988135655,8.816
SN2004dt,NGC 799,Ia,-39.734433200706,16.050639305772844,-68.7671286682643,2004.6967838498888,9.669120000000001
iPTF13dge,NGC 1762,Ia,-59.681430931490404,-19.844047193438634,-26.708922176526794,2013.7609517029898,9.555840000000002
SN2007uy,NGC 2770,Ib Pec,-18.33301628864959,-3.755406271299348,16.96976172027935,2008.0848756981711,8.936000000000002
SN1937C,IC 4182,Ia,-0.16793154147304834,0.5282570629682758,2.8767532675913348,1937.710473478626,9.496
SN2006aj,A032139+1652,Ic BL,-115.99340070627025,26.937845009209695,-76.97875880355531,2006.215949330121,10.000960000000001
SN2009N,NGC 4487,II P,4.18362757238324,-9.278965282252372,14.25989624138575,2009.1490435512721,8.256
SN2016ija,NGC 1532,II,-6.1805228349128285,-8.243478013963758,-10.883961489754265,2016.9769010331108,8.9648
SN2007sr,NGC 4038,Ia,3.364855428290859,-11.009777281116925,10.497702578788642,2008.0492826634543,9.176
SN2017deu,nan,Ia,15.852043627273815,13.39271546927668,213.21136572339168,2017.3771401452925,9.496
SN2009bb,NGC 3278,Ic BL,4.385209609947497,-43.03198717294245,11.945083317386292,2009.3074964406965,9.356
SN2005kj,A084009-0536,IIn,-40.227537803277244,-50.23065312958825,24.83828669848328,2005.9632114043734,9.416
SN2005hk,UGC 272,Ia-02cx,-7.832314942225161,21.946189496462466,-46.653855233438904,2005.915471105757,9.296000000000001
SN2005ip,NGC 2906,IIn,-18.57605102839555,-18.51081782163109,21.545321488595974,2005.930356295404,10.576
SN1999ac,NGC 6063,Ia Pec,23.775997807531787,8.59881623884119,21.172464067745246,1999.2378527361006,9.336000000000002
SN2004ef,UGC 12158,Ia,6.7227495981878,94.36312241843669,-62.441168840290786,2004.7609517029898,9.344
ASASSN-15fa,NGC 6319,Ia,-4.500125678401879,95.90019918030133,68.31386534353476,2015.2965447377067,9.725880000000002
SN2005hg,UGC 1394,Ib,-60.98730770319085,62.660682804261164,-22.876598326778232,2005.9017814770195,9.336000000000002
SN2009ig,NGC 1015,Ia,-18.799458939597624,2.5812677213342274,-25.78457990934491,2009.7214251816158,9.736000000000002
SN2012cg,NGC 4424,Ia,0.48308688398541255,-1.9526107821813836,5.9739759757506254,2012.4632114043734,8.836000000000002
SN2012hr,ESO 121-G26,Ia,-0.632269205729914,-31.12789607446536,-15.77368560522959,2013.0438068119593,9.496
SN2017egm,NGC 3191,SLSN-I,-75.61724810268139,13.57644614279171,107.31149580495614,2017.4796389588582,10.90572
SN1999gi,NGC 3184,II,-6.050424286292467,0.17891137078419383,8.85131420302714,2000.024641331727,8.416
SN2008am,A122836+1534,II,26.09109358069324,-209.14786152227904,934.6939007157928,2008.110712590808,11.322799999999999
SN2013ge,NGC 3287,Ic,-8.016119346107336,-5.689148383560392,16.049557553570853,2013.9385700726464,8.7672
SN2016eay,nan,SLSN-I,-124.45816006972291,73.4316521736489,403.241530005768,2016.460473478626,11.14
SN2009ib,NGC 1559,II P,0.8050913168569958,-10.231372406881386,-8.982308209188899,2009.6830942211516,8.416
PS1-11ap,nan,SLSN-I,-1044.9487139017724,595.4711986011451,1592.3827248935609,2011.0848756981711,10.604
SN1994I,NGC 5194,Ic,-0.5571756506534622,2.1031733557665278,5.541055668036244,1994.3388091848283,8.456000000000001
SN2002er,UGC 10743,Ia,26.044320493869833,14.239730274472855,14.367825126856586,2002.7296389588582,9.256
SN2004gs,MCG +03-22-20,Ia,-86.93628581940911,-46.147084583208326,59.87895293955529,2005.0328551089694,9.316
SN2005ki,NGC 3332,Ia,-24.54716553095385,-37.55749427146518,62.36741200028432,2005.965949330121,9.496
SN2017ito,nan,Ia,-139.60032714219733,-3.796642742846794,-119.47782984306727,2018.0136896287372,9.456000000000001
SN1989B,NGC 3627,Ia,-1.7831038272095965,-3.343593362542893,7.9172384566828775,1989.165471105757,9.496
SN2013ai,NGC 2207,II,-24.46108333697932,-27.825838761150344,-11.342818175856499,2013.2527379257474,8.696000000000002
SN2013bu,NGC 7331,II,-0.7116041982327266,10.980421527123069,-4.1650476076766445,2013.3908297740297,8.1824
SN2002fk,NGC 1309,Ia,-17.237372943659498,-7.034709585307579,-24.85071094282275,2002.7965447377067,9.936000000000002
SN2006ax,NGC 3663,Ia,1.5486994153171834,-48.07916424303794,48.51028147977926,2006.304758514949,9.656
SN2008in,NGC 4303,II P,1.3670606003515304,-5.31111814527355,12.487360949518003,2009.071186069434,8.616
SN2005kd,PGC 14370,II,-43.065050803360066,40.38818858737426,14.988622516186636,2005.9495217756362,9.824000000000002
SN2012Z,NGC 1309,Ia-02cx,-17.083930907680585,-6.964728983842448,-24.621752256054435,2012.1627331800094,9.3352
SN2006fo,SDSS J23239.29+003702.2,Ib,-52.42777798243682,10.850042844041214,-71.29700918043807,2006.7938068119593,9.384960000000001
SN2016fbo,nan,Ia,-60.36657836616399,81.85853768782476,-104.23360550115015,2016.7077355528786,10.176
SN2009jf,NGC 7479,Ib,1.4388924029013181,22.02008709686649,-20.452215856705365,2009.8239239951813,9.136000000000001
SN2000E,NGC 6951,Ia,-4.259618426410615,22.144093814117824,5.978467805663578,2000.1545194027672,9.296000000000001
SN2005na,UGC 3634,Ia,-90.62170696598388,-35.51078672726791,14.729998727465384,2006.0848756981711,9.472
SN2003gd,NGC 0628,II P,-1.738838342927517,1.5309498554018657,-2.378028888923396,2003.5328551089694,7.6960000000000015
SN2014cy,NGC 7742,II P,-2.044764016279075,15.665934090449515,-18.01386956792918,2014.7515423648379,8.3572
