congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
114,29321,71,39,CALIFOR,200,0,1,ROYCE,0.666,-0.335,-203.17792,1114,85,0.833
114,29317,71,40,CALIFOR,100,0,1,ROYBAL-A,-0.473,-0.192,-59.13965,1111,28,0.948
114,21312,71,41,CALIFOR,100,0,1,TAKANO,-0.476,-0.14,-89.8521,1125,33,0.923
114,29323,71,42,CALIFOR,200,0,1,CALVERT,0.345,0.232,-94.80617,1113,27,0.918
114,29106,71,43,CALIFOR,100,0,1,WATERS,-0.663,-0.076,-99.57316,1038,39,0.909
114,21195,71,44,CALIFOR,100,0,1,HAHN,-0.39,-0.376,-83.71876,1089,38,0.926
114,21509,71,45,CALIFOR,200,0,1,WALTERS,0.389,0.26,-107.06904,1088,43,0.906
114,29709,71,46,CALIFOR,100,0,1,SANCHEZ,-0.367,0.025,-108.19825,841,48,0.879
114,21313,71,47,CALIFOR,100,0,1,LOWENTHAL,-0.436,-0.382,-72.82223,1119,26,0.937
114,15621,71,48,CALIFOR,200,0,1,ROHRABAC,0.629,-0.405,-166.93081,1102,74,0.859
114,20107,71,49,CALIFOR,200,0,1,ISSA,0.506,-0.013,-141.4377,1086,62,0.878
114,20963,71,50,CALIFOR,200,0,1,HUNTER,0.511,0.282,-133.08985,1115,57,0.887
114,21314,71,51,CALIFOR,100,0,1,VARGAS,-0.381,0.135,-132.36352,1117,57,0.888
114,21315,71,52,CALIFOR,100,0,1,PETERS,-0.178,-0.081,-237.01227,1108,110,0.807
114,20108,71,53,CALIFOR,100,0,1,DAVIS,-0.348,-0.072,-94.81875,1118,33,0.919
114,29710,62,1,COLORAD,100,0,1,DEGETTE,-0.437,-0.291,-79.87089,1115,31,0.931
114,20904,62,2,COLORAD,100,0,1,POLIS,-0.285,-0.614,-212.59446,1109,86,0.826
114,21111,62,3,COLORAD,200,0,1,TIPTON,0.46,0.039,-131.11824,1118,73,0.889
114,21510,62,4,COLORAD,200,0,1,BUCK,0.73,-0.544,-135.91212,1063,58,0.88
114,20704,62,5,COLORAD,200,0,1,LAMBORN,0.692,0.272,-76.8263,1091,30,0.932
114,20906,62,6,COLORAD,200,0,1,COFFMAN,0.496,-0.119,-193.92874,1119,75,0.841
114,20705,62,7,COLORAD,100,0,1,PERLMUTTER,-0.303,0.185,-161.8378,1085,68,0.861
114,29908,1,1,CONNECT,100,0,1,LARSON,-0.405,-0.045,-107.41617,1075,43,0.905
114,20706,1,2,CONNECT,100,0,1,COURTNEY,-0.353,0.066,-110.51827,1111,46,0.905
114,29109,1,3,CONNECT,100,0,1,DELAURO,-0.421,-0.095,-82.94299,1077,26,0.926
114,20907,1,4,CONNECT,100,0,1,HIMES,-0.246,-0.236,-154.19391,1112,64,0.871
114,21316,1,5,CONNECT,100,0,1,ESTY,-0.309,-0.109,-103.17446,1119,39,0.912
114,21113,11,1,DELAWAR,100,0,1,CARNEY,-0.256,-0.142,-141.76971,1100,57,0.879
114,20110,43,1,FLORIDA,200,0,1,MILLER,0.633,0.155,-89.73545,1089,45,0.921
114,21511,43,2,FLORIDA,100,0,1,GRAHAM,-0.233,0.255,-239.05872,1124,96,0.808
114,21317,43,3,FLORIDA,200,0,1,YOHO,0.698,-0.432,-155.24785,1110,69,0.869
114,20111,43,4,FLORIDA,200,0,1,CRENSHAW,0.333,0.337,-89.92786,1109,23,0.922
114,29328,43,5,FLORIDA,100,0,1,BROWN,-0.429,0.192,-108.58497,983,39,0.895
114,21318,43,6,FLORIDA,200,0,1,DESANTIS,0.662,-0.109,-100.76426,1108,55,0.913
