congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
90,8021,62,1,COLORAD,Democrat,0,1,ROGERS  B.,-0.28,0.171,-81.54729,358,31,0.796
90,10572,62,2,COLORAD,Republican,0,1,BROTZMAN,0.157,-0.254,-97.13373,364,48,0.766
90,10723,62,3,COLORAD,Democrat,0,1,EVANS,-0.331,0.121,-107.07112,347,46,0.735
90,275,62,4,COLORAD,Democrat,0,1,ASPINALL,-0.315,0.454,-77.72893,324,27,0.787
90,2295,1,1,CONNECT,Democrat,0,1,DADDARIO,-0.361,-0.223,-42.59452,334,16,0.88
90,10627,1,2,CONNECT,Democrat,0,1,ST. ONGE,-0.417,-0.044,-42.51108,292,15,0.865
90,3553,1,3,CONNECT,Democrat,0,1,GIAIMO,-0.318,0.093,-74.70976,321,35,0.792
90,4824,1,4,CONNECT,Democrat,0,1,IRWIN,-0.313,-0.29,-68.45727,352,30,0.823
90,6586,1,5,CONNECT,Democrat,0,1,MONAGAN,-0.228,-0.018,-82.5253,356,36,0.793
90,11033,1,6,CONNECT,Republican,0,1,MESKILL,0.159,-0.281,-117.6197,369,53,0.727
90,11044,11,1,DELAWAR,Republican,0,1,ROTH,0.272,-0.39,-112.52151,367,50,0.736
90,8507,43,1,FLORIDA,Democrat,0,1,SIKES,-0.128,0.926,-95.86229,350,44,0.76
90,10587,43,2,FLORIDA,Democrat,0,1,FUQUA,-0.173,0.715,-110.93072,359,55,0.734
90,633,43,3,FLORIDA,Democrat,0,1,BENNETT,-0.088,0.421,-243.77681,390,107,0.535
90,4354,43,4,FLORIDA,Democrat,0,1,HERLONG,-0.007,0.74,-57.70597,211,27,0.761
90,10593,43,5,FLORIDA,Republican,0,1,GURNEY,0.306,0.183,-52.27898,281,22,0.83
90,10588,43,6,FLORIDA,Democrat,0,1,GIBBONS,-0.233,0.17,-86.33059,353,32,0.783
90,3929,43,7,FLORIDA,Democrat,0,1,HALEY,0.098,0.694,-121.2446,375,57,0.724
90,2143,43,8,FLORIDA,Republican,0,1,CRAMER,0.218,0.159,-84.1022,333,37,0.777
90,8032,43,9,FLORIDA,Democrat,0,1,ROGERS  P.,-0.085,0.407,-165.5421,376,92,0.644
90,1Democrat7,43,10,FLORIDA,Republican,0,1,BURKE  J.H.,0.241,0.071,-105.72598,358,47,0.744
90,7333,43,11,FLORIDA,Democrat,0,1,PEPPER,-0.422,0.357,-42.5619,316,13,0.874
90,3078,43,12,FLORIDA,Democrat,0,1,FASCELL,-0.4,0.229,-66.64166,358,27,0.83
90,10522,44,1,GEORGIA,Democrat,0,1,HAGAN,-0.077,0.997,-87.64432,331,34,0.767
90,10759,44,2,GEORGIA,Democrat,0,1,O'NEAL,0.023,1,-92.92956,353,38,0.769
90,1Democrat5,44,3,GEORGIA,Democrat,0,1,BRINKLEY,-0.073,0.701,-127.13904,376,63,0.713
90,1Democrat2,44,4,GEORGIA,Republican,0,1,BLACKBURN,0.386,0.214,-88.45532,316,33,0.756
90,11053,44,5,GEORGIA,Republican,0,1,THOMPSON,0.189,0.373,-148.95022,361,69,0.662
90,3242,44,6,GEORGIA,Democrat,0,1,FLYNT,0,1,-77.95841,310,41,0.778
90,10512,44,7,GEORGIA,Democrat,0,1,DAVIS  J.,-0.195,0.92,-99.47732,359,34,0.758
90,11052,44,8,GEORGIA,Democrat,0,1,STUCKEY,-0.114,0.751,-116.82101,Independent,56,0.7
90,5436,44,9,GEORGIA,Democrat,0,1,LANDRUM,-0.134,0.991,-66.84441,243,32,0.76
90,10563,44,10,GEORGIA,Democrat,0,1,STEPHENS,-0.194,0.944,-81.73634,294,32,0.757
90,10757,82,98,HAWAII,Democrat,0,1,MINK,-0.513,-0.067,-55.17819,366,24,0.86
90,10605,82,98,HAWAII,Democrat,0,1,MATSUNAGA,-0.379,-0.032,-51.26522,361,14,0.868
90,11029,63,1,IDAHO,Republican,0,1,MCCLURE,0.492,0.043,-143.54673,352,70,0.665
90,10734,63,2,IDAHO,Republican,0,1,HANSEN  G.,0.621,0.339,-Democrat.24038,257,49,0.677
90,2433,21,1,ILLINOI,Democrat,0,1,DAWSON,-0.527,0.101,-35.22445,273,9,0.879
90,7041,21,2,ILLINOI,Democrat,0,1,O'HARA  B.,-0.511,-0.142,-47.80586,331,20,0.866
90,6816,21,3,ILLINOI,Democrat,0,1,MURPHY  W.,-0.42,0.182,-48.20959,365,18,0.876
90,2525,21,4,ILLINOI,Republican,0,1,DERWINSKI,0.342,-0.361,-167.85915,338,75,0.609
90,5326,21,5,ILLINOI,Democrat,0,1,KLUCZYNSKI,-0.382,0.237,-51.58316,307,13,0.845
90,10765,21,6,ILLINOI,Democrat,0,1,RONAN,-0.505,0.05,-32.47594,332,10,0.907
90,10703,21,7,ILLINOI,Democrat,0,1,ANNUNZIO,-0.398,0.351,-64.86098,354,24,0.833
90,8080,21,8,ILLINOI,Democrat,0,1,ROSTENKOWSK,-0.39,0.246,-37.93141,318,8,0.888
90,10421,21,9,ILLINOI,Democrat,0,1,YATES,-0.494,-0.494,-105.88563,370,48,0.751
90,1941,21,10,ILLINOI,Republican,0,1,COLLIER,0.378,-0.213,-130.53174,364,67,0.699
90,7642,21,11,ILLINOI,Democrat,0,1,PUCINSKI,-0.281,0.083,-98.26359,323,39,0.738
90,10606,21,12,ILLINOI,Republican,0,1,MCCLORY,0.256,-0.426,-111.81303,352,51,0.728
90,10622,21,13,ILLINOI,Republican,0,1,RUMSFELD,0.369,-0.779,-134.3512,371,68,0.696
90,10722,21,14,ILLINOI,Republican,0,1,ERLENBORN,0.315,-0.438,-108.69235,350,56,0.733
