q,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
0.081635,-4.62E-06,0.0019742,0.0010148,0.0032694,0.0015168,0.0018244,0.0041117,0.0020713,0.001247,0.0018525,0.0011477,0.00058087,-0.0013585,-0.00087938,-0.0019621,-0.0015611,-0.00089079,-0.0025476,-0.0024186,-0.0038809,-0.0015483,-0.0022469,-0.0005416,-0.0014437,0.0019534,0.0022422,0.0035707,0.0086906
0.084967,0.0025021,0.0010107,0.002057,0.002244,0.0013848,0.00022663,0.0031388,0.003514,0.0023797,0.0020938,0.002215,0.001773,-0.00011311,0.00071516,-0.0015062,0.00061193,8.68E-05,-0.0008913,-0.0013289,-0.0028009,-0.0012779,-0.0022981,-0.00084437,-0.00041171,0.0022361,0.0025203,0.00625,0.012182
0.088299,-0.00024544,0.0011091,0.00062278,0.0045147,0.0019352,0.001143,0.0051609,0.0023795,0.00233,0.0018543,0.0018896,0.0021572,0.0013131,0.0010018,0.00085119,0.0015788,0.00054931,2.98E-05,-0.0010761,-0.0016786,0.00037691,-0.00021007,0.0013298,0.0005032,0.0016874,0.003136,0.010017,0.013799
0.091631,0.0007249,0.0015962,0.0020389,0.0046034,0.0039696,0.0019478,0.0041897,0.0014922,0.0046781,0.0022308,0.0028137,0.0036757,0.0010766,0.0001954,-0.00042048,0.0013335,0.0019066,0.0020794,-0.00093696,-0.0015623,0.00056679,0.00087961,0.0019031,-0.00080863,0.0027723,0.0034974,0.0085726,0.012678
0.094962,-0.0010301,0.0007879,0.00081792,0.0019323,0.0042703,0.0019082,0.0047007,0.0043573,0.0036341,0.0023584,0.0015752,0.0029337,0.0020805,0.0018736,0.0027819,0.0026927,0.0021896,0.0021429,0.0010376,3.87E-05,-0.00016073,0.0028572,0.0022085,0.00034379,0.0022337,0.0039842,0.010365,0.01317
0.098294,-0.00063807,0.0013483,0.00094235,0.0032692,0.0053066,0.0038589,0.0046869,0.0048358,0.0040849,0.0044022,0.0026715,0.0053461,0.0027781,0.0024728,0.0034031,0.0032733,0.0037816,0.0022826,0.0015561,0.0013102,0.0024109,0.0030024,0.0013641,0.0011828,0.0026062,0.0053742,0.0095464,0.012917
0.10163,0.0002141,0.0007374,0.00054699,0.0048737,0.0045551,0.0039159,0.0057701,0.0071121,0.0050006,0.0054546,0.002957,0.0061782,0.0035869,0.0045568,0.0048474,0.0033199,0.0045406,0.0032521,0.004569,0.0013239,0.0037181,0.001627,0.0015864,0.0027132,0.0029738,0.0032944,0.0090829,0.012411
0.10496,0.001249,0.0013263,0.0020247,0.0017499,0.0011417,0.0037936,0.0048055,0.0070377,0.0048901,0.0037305,0.003205,0.0036439,0.0037053,0.0055046,0.0057217,0.0035738,0.002822,0.0032617,0.0048097,0.00038085,0.00093664,0.0011765,0.0014472,0.00097197,0.0028712,0.0032749,0.0071407,0.010644
0.10829,0.0017404,0.0015152,0.0033104,0.0022008,0.0030954,0.0043208,0.0058937,0.005344,0.0044788,0.0037871,0.0036459,0.0048917,0.0036751,0.0043631,0.0050286,0.003267,0.0031793,0.0044347,0.004548,0.001643,0.0018198,0.0030053,0.0010705,0.0015482,0.0026486,0.0033585,0.007068,0.010172
0.11162,0.0017132,0.0018037,0.0024024,0.0021022,0.0048624,0.0029801,0.0053344,0.0060899,0.0051626,0.0048796,0.0048079,0.0052754,0.0032845,0.0049712,0.0050561,0.0041722,0.0047067,0.0040294,0.0055048,0.0023672,0.0034348,0.0037388,0.0033033,0.002333,0.0035196,0.0042532,0.0068989,0.0097998
0.11495,0.00249,0.0027478,0.0027737,0.0036426,0.0066479,0.0049844,0.0048531,0.0063689,0.0056358,0.0042811,0.0042649,0.0044053,0.0050055,0.0051671,0.005795,0.0060201,0.0051345,0.0053591,0.0057282,0.0034272,0.0029289,0.0032771,0.0039639,0.0021555,0.0037268,0.0048504,0.0065043,0.010275
0.11829,0.00056034,0.0013694,0.0013632,0.0031344,0.0032313,0.0064265,0.0050654,0.0057648,0.0057763,0.0041074,0.004205,0.0052412,0.0053219,0.005074,0.0060511,0.0073916,0.0048439,0.0052356,0.0054064,0.0036206,0.0031988,0.0047469,0.0041297,0.003739,0.00259,0.0049224,0.0076561,0.0092141
0.12162,0.0015072,0.0025317,0.0011006,0.00059152,0.0027007,0.0042041,0.0043097,0.0060704,0.0045551,0.0046731,0.0048332,0.0053777,0.0048423,0.0053097,0.0054315,0.0057524,0.0056074,0.0050651,0.0057803,0.0045394,0.0034232,0.00428,0.0044056,0.0032146,0.0021987,0.0049599,0.007292,0.0088957
0.12495,0.0017415,0.0020141,0.0023721,0.002037,0.0032322,0.0033828,0.0050827,0.0053248,0.005081,0.0076684,0.0043157,0.0074383,0.004799,0.0047247,0.0047964,0.0062163,0.0077027,0.0054154,0.0057536,0.005671,0.0048623,0.00551,0.0046528,0.0034666,0.0024825,0.0046022,0.0049557,0.0089839
0.12828,0.00097999,0.0014551,0.0020724,0.0043512,0.0053482,0.0045631,0.0046193,0.0053263,0.0047695,0.0062782,0.005053,0.0070896,0.0047255,0.0046097,0.0049664,0.0051524,0.0058579,0.0051531,0.0057725,0.0057121,0.0039974,0.0050259,0.0030399,0.0022987,0.0021682,0.003355,0.0047891,0.0069497
