x,y
5.092903259448676723e-01,2.660248770612704305e+01
5.106838902519813539e-01,2.660170132817398780e+01
5.120774545590950355e-01,2.660101604955675469e+01
5.134710188662087171e-01,2.660042689534626348e+01
5.148645831733223988e-01,2.659993028894082912e+01
5.162581474804360804e-01,2.659952418838373589e+01
5.176517117875497620e-01,2.659920818301362644e+01
5.190452760946634436e-01,2.659898354952596478e+01
5.204388404017771252e-01,2.659885326848803189e+01
5.218324047088908069e-01,2.659882200409148822e+01
5.232259690160044885e-01,2.659889605133353285e+01
5.246195333231182811e-01,2.659908325581791999e+01
5.260130976302319628e-01,2.659939291193520461e+01
5.274066619373456444e-01,2.659983564533257550e+01
5.288002262444593260e-01,2.660042328536815148e+01
5.301937905515730076e-01,2.660116873273692306e+01
5.315873548586866892e-01,2.660208582674212963e+01
5.323817717710125352e-01,2.660271596682183315e+01
5.329809191658003709e-01,2.660316752517622518e+01
5.343744834729140525e-01,2.660441306139844997e+01
5.357680477800277341e-01,2.660586680314374064e+01
5.371616120871414157e-01,2.660754460706903046e+01
5.385551763942550973e-01,2.660946270876711139e+01
5.399487407013687790e-01,2.661163763842198193e+01
5.413423050084825716e-01,2.661408614536136952e+01
5.427358693155962532e-01,2.661682513126972438e+01
5.441292772671724176e-01,2.661987124884387867e+01
5.441294336227099349e-01,2.661987157775232404e+01
5.455229979298236165e-01,2.662310560846874807e+01
5.469165622369372981e-01,2.662666994225412509e+01
5.483101265440509797e-01,2.663058124610346766e+01
5.497036908511646613e-01,2.663485612417511561e+01
5.503566340304260063e-01,2.663702653086593131e+01
5.510972551582783430e-01,2.663942152577616440e+01
5.524908194653920246e-01,2.664429367496862611e+01
5.538843837725057062e-01,2.664956761029430155e+01
5.550168703845906881e-01,2.665418181288797328e+01
5.552779480796193878e-01,2.665522482142828053e+01
5.566715123867330695e-01,2.666115662535033692e+01
5.580650766938468621e-01,2.666752693539846675e+01
5.588486801233086831e-01,2.667133709491002236e+01
5.594586410009605437e-01,2.667426614681065900e+01
5.608522053080742253e-01,2.668135582360762115e+01
5.621685933821476411e-01,2.668849237693206788e+01
5.622457696151879070e-01,2.668890773150031492e+01
5.636393339223015886e-01,2.669675665496614414e+01
5.650328982294152702e-01,2.670509580336445765e+01
5.651215598159777809e-01,2.670564765895411696e+01
5.664264625365289518e-01,2.671375159899350038e+01
5.678056481128370692e-01,2.672280294097616249e+01
5.678200268436426335e-01,2.672289734574028230e+01
5.692135911507563151e-01,2.673236057680447431e+01
5.702804331421766904e-01,2.673995822299821157e+01
5.706071554578699967e-01,2.674229131170020679e+01
5.720007197649836783e-01,2.675258402565211924e+01
5.725925006788814553e-01,2.675711350502025709e+01
5.733942840720973599e-01,2.676327390001832995e+01
5.747737728634944032e-01,2.677426878704230617e+01
5.747878483792111526e-01,2.677438143804694093e+01
5.761814126863248342e-01,2.678577730720972028e+01
5.768514160323471307e-01,2.679142406906435170e+01
5.775749769934385158e-01,2.679754251681869448e+01
5.788459472698465058e-01,2.680857935108640078e+01
5.789685413005521974e-01,2.680964640238141072e+01
5.803621056076658791e-01,2.682197678467876045e+01
5.807786536416508216e-01,2.682573463310844630e+01
5.817556699147795607e-01,2.683454989975324878e+01
5.826633975925412656e-01,2.684288991513049538e+01
5.831492342218932423e-01,2.684734691865715916e+01
5.845123592574688054e-01,2.686004519715254091e+01
5.845427985290069239e-01,2.686032786352641111e+01
5.859363628361206056e-01,2.687336248825052110e+01
5.863419761977459732e-01,2.687720047917458999e+01
5.873299271432342872e-01,2.688650035671427219e+01
5.881558768092710610e-01,2.689435576119663551e+01
5.887234914503479688e-01,2.689972182214505025e+01
5.899591889347945983e-01,2.691151104321868459e+01
5.901170557574616504e-01,2.691300778897205248e+01
5.915106200645752210e-01,2.692628862155144276e+01
5.917585933530215003e-01,2.692866632524073367e+01
5.929041843716890137e-01,2.693958958979846585e+01
5.935523170830558914e-01,2.694582160726277920e+01
5.942977486788026953e-01,2.695295984567538738e+01
5.953345032157250083e-01,2.696297688928482472e+01
5.956913129859164879e-01,2.696641790823585083e+01
5.970848772930301696e-01,2.697998695778896661e+01
5.970997242467592780e-01,2.698013217130687025e+01
5.984784416001438512e-01,2.699364485794136570e+01
5.988459985271137320e-01,2.699728745332891933e+01
5.998720059072575328e-01,2.700751362034337433e+01
6.005587613083560594e-01,2.701444273535096841e+01
6.012655702143712144e-01,2.702164373136275088e+01
6.022297936252092310e-01,2.703159801737301748e+01
6.026591345214848960e-01,2.703609242698703952e+01
6.038518859534772742e-01,2.704875329939506301e+01
6.040526988285985777e-01,2.705092383843656378e+01
6.054195033208352728e-01,2.706590858141711209e+01
6.054462631357122593e-01,2.706620851569835295e+01
6.068398274428259409e-01,2.708201762458187289e+01
6.069308679034387533e-01,2.708306386343915406e+01
6.082333917499396225e-01,2.709843704713951240e+01
6.083824917102907959e-01,2.710021914546120669e+01
6.096269560570531931e-01,2.711553695070093539e+01
6.097745734388567707e-01,2.711737442748325577e+01
6.110205203641669858e-01,2.713337561590140368e+01
6.111095461642248594e-01,2.713452970950530130e+01
6.123917229210034119e-01,2.715168499152734682e+01
6.124140846712807784e-01,2.715199340156584285e+01
6.136286023231318776e-01,2.716884027354939590e+01
6.138076489783944600e-01,2.717140328580465436e+01
6.148238141501134457e-01,2.718599555557144143e+01
6.152012132855081417e-01,2.719157806056400162e+01
6.159831337833940879e-01,2.720315083759349051e+01
6.165947775926218233e-01,2.721245107970949206e+01
6.171123582792261697e-01,2.722030611961553603e+01
6.179883418997355049e-01,2.723392090961825218e+01
6.182170743183038608e-01,2.723746140163758511e+01
6.193044668700139477e-01,2.725461668365963064e+01
6.193819062068491865e-01,2.725585618393781928e+01
6.203832748049846746e-01,2.727177196568167972e+01
6.207754705139628681e-01,2.727810516945560693e+01
6.214510076214682099e-01,2.728892724770372524e+01
6.221690348210765498e-01,2.730059240809312371e+01
6.225097664186893809e-01,2.730608252972577432e+01
6.235603428278962967e-01,2.732323781174781985e+01
6.235625991281902314e-01,2.732327496705887171e+01
6.246101028693968882e-01,2.734039309376986893e+01
6.249561634353039130e-01,2.734613741596525927e+01
6.256479001660242290e-01,2.735754837579191445e+01
6.263497277424175946e-01,2.736934847187778530e+01
6.266696087397696235e-01,2.737470365781396708e+01
6.276712974887785901e-01,2.739185893983601261e+01
6.277432920495313873e-01,2.739311996723687059e+01
6.286515414260995804e-01,2.740901422185805814e+01
6.291368563566450689e-01,2.741781778698302929e+01
6.295965771556503165e-01,2.742616950388010366e+01
6.305000357987842197e-01,2.744332478590215274e+01
6.305304206637587505e-01,2.744392606222792708e+01
6.313631345670527306e-01,2.746048006792420182e+01
6.319239849708724321e-01,2.747235488726168740e+01
6.321718995304059785e-01,2.747763534994625090e+01
6.329276810488843052e-01,2.749479063196829287e+01
6.333175492779861138e-01,2.750435243215330416e+01
6.336251105538890371e-01,2.751194591399034195e+01
6.342644369468746213e-01,2.752910119601239103e+01
6.347111135850997954e-01,2.754233739983281737e+01
6.348426649949798772e-01,2.754625647803443655e+01
6.353657736277460444e-01,2.756341176005648563e+01
6.358293262745287056e-01,2.758056704207853116e+01
6.361046778922134770e-01,2.759209995247850600e+01
6.362388554630634685e-01,2.759772232410058024e+01
6.365998143324187453e-01,2.761487760612262576e+01
6.369115963491844834e-01,2.763203288814467484e+01
6.371785760241620578e-01,2.764918817016672037e+01
6.374053185457886350e-01,2.766634345218876945e+01
6.374982421993271586e-01,2.767464173417009832e+01
6.375986081405462524e-01,2.768349873421081497e+01
6.377625955640316979e-01,2.770065401623286760e+01
6.379002061922923739e-01,2.771780929825490958e+01
6.380162746153588138e-01,2.773496458027695866e+01
6.381155787223622422e-01,2.775211986229900418e+01
6.382027907731969707e-01,2.776927514432105326e+01
6.382824206815043144e-01,2.778643042634309879e+01
6.383587489122340974e-01,2.780358570836514787e+01
6.384357473277252337e-01,2.782074099038719339e+01
6.385169877543652728e-01,2.783789627240924247e+01
6.386055400010620664e-01,2.785505155443128800e+01
6.387038634669657267e-01,2.787220683645333708e+01
6.388136991270751963e-01,2.788936211847538260e+01
6.388918065064408403e-01,2.790034193514515692e+01
6.389370136756067353e-01,2.790651740049743168e+01
6.390748107491225349e-01,2.792367268251948076e+01
6.392242145480001581e-01,2.794082796454152628e+01
6.393832900866616153e-01,2.795798324656357181e+01
6.395492165506531101e-01,2.797513852858561734e+01
6.397184053357800604e-01,2.799229381060766997e+01
6.398866684316188991e-01,2.800944909262971549e+01
6.400494257300015644e-01,2.802660437465176102e+01
6.402019346754989071e-01,2.804375965667381010e+01
6.402853708135545219e-01,2.805414797793371662e+01
6.403405164073218137e-01,2.806091493869586273e+01
6.404609181539953067e-01,2.807807022071790470e+01
6.405576586269643435e-01,2.809522550273995378e+01
6.406274280421561107e-01,2.811238078476199931e+01
6.406676010016379985e-01,2.812953606678404839e+01
6.406762696322290118e-01,2.814669134880609747e+01
6.406522358694886066e-01,2.816384663082813944e+01
6.405949716267864691e-01,2.818100191285018852e+01
6.405045566335845209e-01,2.819815719487224115e+01
6.403816033944959019e-01,2.821531247689428312e+01
6.402853708135545219e-01,2.822599691281194367e+01
6.402284818778597453e-01,2.823246775891633220e+01
6.400484475889979263e-01,2.824962304093837773e+01
6.398413025370418561e-01,2.826677832296042681e+01
6.396091244994708269e-01,2.828393360498247233e+01
6.393541540323470773e-01,2.830108888700452141e+01
6.390787432920259636e-01,2.831824416902656694e+01
6.388918065064408403e-01,2.832919602891821143e+01
6.387883192304871782e-01,2.833539945104861602e+01
6.384886401819940271e-01,2.835255473307066154e+01
6.381771327618189771e-01,2.836971001509271062e+01
6.378561717543951293e-01,2.838686529711475970e+01
6.375280444086256493e-01,2.840402057913680167e+01
6.374982421993271586e-01,2.840557080529785594e+01
6.372049037664538895e-01,2.842117586115885075e+01
6.368806653742102863e-01,2.843833114318089983e+01
6.365561090576139502e-01,2.845548642520295246e+01
6.362327386061241707e-01,2.847264170722499443e+01
6.361046778922134770e-01,2.847954278919827686e+01
6.359186141658818014e-01,2.848979698924703996e+01
6.356127741387351815e-01,2.850695227126909259e+01
6.353113933952061476e-01,2.852410755329113812e+01
6.350147385655171561e-01,2.854126283531318364e+01
6.347227779705177930e-01,2.855841811733522562e+01
6.347111135850997954e-01,2.855912379918437694e+01
6.344453053332886894e-01,2.857557339935727825e+01
6.341720646825459440e-01,2.859272868137932733e+01
6.339016954811945714e-01,2.860988396340137285e+01
6.336330546717540146e-01,2.862703924542342548e+01
6.333648361734099952e-01,2.864419452744546746e+01
6.333175492779861138e-01,2.864724415615822295e+01
6.331035350391013283e-01,2.866134980946751654e+01
6.328414353344112842e-01,2.867850509148956206e+01
6.325753231568409518e-01,2.869566037351161469e+01
6.323037179118538020e-01,2.871281565553365667e+01
6.320252245837786331e-01,2.872997093755570219e+01
6.319239849708724321e-01,2.873608798228382000e+01
6.317446728551376900e-01,2.874712621957775127e+01
6.314582421510013255e-01,2.876428150159980035e+01
6.311615694601219184e-01,2.878143678362184943e+01
6.308538375523986552e-01,2.879859206564389495e+01
6.305343958824620731e-01,2.881574734766594048e+01
6.305304206637587505e-01,2.881595640450112228e+01
6.302123915780070140e-01,2.883290262968798956e+01
6.298779181502058844e-01,2.885005791171003509e+01
6.295305658955525629e-01,2.886721319373208416e+01
6.291701183696688515e-01,2.888436847575412969e+01
6.291368563566451799e-01,2.888592317982060109e+01
6.288054387568643433e-01,2.890152375777617877e+01
6.284281437363417044e-01,2.891867903979822785e+01
6.280370911531838463e-01,2.893583432182027337e+01
6.277432920495313873e-01,2.894835404524261691e+01
6.276346980647763418e-01,2.895298960384231890e+01
6.272251003641369227e-01,2.897014488586436798e+01
6.268003591959265819e-01,2.898730016788641706e+01
6.263597189621786798e-01,2.900445544990846258e+01
6.263497277424175946e-01,2.900484054288530800e+01
6.259122194567593445e-01,2.902161073193050811e+01
6.254468619999642431e-01,2.903876601395255719e+01
6.249619816657241422e-01,2.905592129597460627e+01
6.249561634353039130e-01,2.905612496225571562e+01
6.244663629273252692e-01,2.907307657799665179e+01
6.239476661268821278e-01,2.909023186001869732e+01
6.235625991281902314e-01,2.910249758924594232e+01
6.234067183607169271e-01,2.910738714204074284e+01
6.228457559842892621e-01,2.912454242406279548e+01
6.222538896572751277e-01,2.914169770608484100e+01
6.221690348210765498e-01,2.914410661829740690e+01
6.216383926413793226e-01,2.915885298810689008e+01
6.209870091852888185e-01,2.917600827012893561e+01
6.207754705139628681e-01,2.918140937634127852e+01
6.203033833908744299e-01,2.919316355215098469e+01
6.195783701464508963e-01,2.921031883417303021e+01
6.193819062068491865e-01,2.921482472462778901e+01
6.188142905454424580e-01,2.922747411619507929e+01
6.179992506603235736e-01,2.924462939821712482e+01
6.179883418997355049e-01,2.924485436832680207e+01
6.171407349441417889e-01,2.926178468023917389e+01
6.165947775926218233e-01,2.927214488521020641e+01
6.162247249166895591e-01,2.927893996226121942e+01
6.152492693471944829e-01,2.929609524428326495e+01
6.152012132855081417e-01,2.929692158471675612e+01
6.142177682472280686e-01,2.931325052630531047e+01
6.138076489783945711e-01,2.931980373175058219e+01
6.131204695892604750e-01,2.933040580832736310e+01
6.124140846712807784e-01,2.934095263631045825e+01
6.119558551069984587e-01,2.934756109034940863e+01
6.110205203641669858e-01,2.936068642727086342e+01
6.107234445612131912e-01,2.936471637237145771e+01
6.096269560570533041e-01,2.937926618359019670e+01
6.094240999630481381e-01,2.938187165439350679e+01
6.082333917499396225e-01,2.939690761477974235e+01
6.080603070444079439e-01,2.939902693641555231e+01
6.068398274428259409e-01,2.941379065640732549e+01
6.066363926760095504e-01,2.941618221843759784e+01
6.054462631357122593e-01,2.943006733795416707e+01
6.051586288908799016e-01,2.943333750045964692e+01
6.040526988285985777e-01,2.944586821382627306e+01
6.036351740677450284e-01,2.945049278248169600e+01
6.026591345214848960e-01,2.946130757154944746e+01
6.020758138107069612e-01,2.946764806450374152e+01
6.012655702143712144e-01,2.947648755050625624e+01
6.004914898583557648e-01,2.948480334652578705e+01
5.998720059072575328e-01,2.949150122468864055e+01
5.988936421982149483e-01,2.950195862854783968e+01
5.984784416001438512e-01,2.950643463040523073e+01
5.972934294172153047e-01,2.951911391056988521e+01
5.970848772930301696e-01,2.952136766606890816e+01
5.957009235982752005e-01,2.953626919259193073e+01
5.956913129859163769e-01,2.953637377391951091e+01
5.942977486788025843e-01,2.955160268386298128e+01
5.941310717831831401e-01,2.955342447461397626e+01
5.929041843716890137e-01,2.956700804223463663e+01
5.925825022713540058e-01,2.957057975663602534e+01
5.915106200645753320e-01,2.958262133416680228e+01
5.910578287927357177e-01,2.958773503865807442e+01
5.901170557574616504e-01,2.959846308114406810e+01
5.895574813596650143e-01,2.960489032068011994e+01
5.887234914503479688e-01,2.961453448961000845e+01
5.880794866213552297e-01,2.962204560270216547e+01
5.873299271432342872e-01,2.963081488186919543e+01
5.866197550297067576e-01,2.963920088472421810e+01
5.859363628361206056e-01,2.964726089203430348e+01
5.851724384632631670e-01,2.965635616674626007e+01
5.845427985290068129e-01,2.966380810562103676e+01
5.837302975115750137e-01,2.967351144876830915e+01
5.831492342218933533e-01,2.968037534139152456e+01
5.822850315033420987e-01,2.969066673079035823e+01
5.817556699147795607e-01,2.969687113013998214e+01
5.808275417068329283e-01,2.970782201281240731e+01
5.803621056076658791e-01,2.971320135650323024e+01
5.793481144416858797e-01,2.972497729483445283e+01
5.789685413005521974e-01,2.972927672640202701e+01
5.778365235429484548e-01,2.974213257685649836e+01
5.775749769934385158e-01,2.974501882193496272e+01
5.762820599322849846e-01,2.975928785887854744e+01
5.761814126863248342e-01,2.976036394892001624e+01
5.747878483792111526e-01,2.977524625669759573e+01
5.746753213933614157e-01,2.977644314090059297e+01
5.733942840720973599e-01,2.978961995370735494e+01
5.730042876292078535e-01,2.979359842292264204e+01
5.720007197649836783e-01,2.980348341587004768e+01
5.712542207327947485e-01,2.981075370494468757e+01
5.706071554578699967e-01,2.981683353767172662e+01
5.694113426483640161e-01,2.982790898696673665e+01
5.692135911507563151e-01,2.982967576930132836e+01
5.678200268436426335e-01,2.984197044974625257e+01
5.674632631112274117e-01,2.984506426898878217e+01
5.664264625365289518e-01,2.985374688539464572e+01
5.653913328818647166e-01,2.986221955101083125e+01
5.650328982294152702e-01,2.986505547160551544e+01
5.636393339223015886e-01,2.987587013656322199e+01
5.631772600350044566e-01,2.987937483303287678e+01
5.622457696151879070e-01,2.988621926305069465e+01
5.608522053080742253e-01,2.989615899884043770e+01
5.607991609384840315e-01,2.989653011505492586e+01
