,Region,Source,RA,Dec,dist,Disk,starmass,logMacc_PPVII,mmflux,submmflux,DiskMass,acc
435,rOph,J162706.0-242618,16:27:06.000,-24:26:18.000,139.0,II,,,,,,
436,rOph,J162706.0-242836,16:27:06.000,-24:28:36.000,139.0,II,0.13699999999999998,-105.6,,,,2.511886431509613e-106
437,rOph,J162706.6-244149,16:27:06.600,-24:41:49.000,141.58,II,0.114,-8.773,,,109.0,1.6865530253887423e-09
438,rOph,J162706.8-243815,16:27:06.800,-24:38:15.000,139.0,I,,,0.15,,1288.0,
439,rOph,J162709.1-241201,16:27:09.100,-24:12:01.000,143.65,II,0.334,-9.264,0.15,,224.00000000000003,5.44502652842422e-10
440,rOph,J162709.1-243408,16:27:09.100,-24:34:08.000,134.6,II,0.55,-7.98,0.15,,2218.0,1.0471285480508984e-08
441,rOph,J162709.3-244022,16:27:09.300,-24:40:22.000,139.0,F,,,0.15,,552.0,
442,rOph,J162711.2-244047,16:27:11.200,-24:40:47.000,139.0,F,,,0.15,,2223.0,
443,rOph,J162711.7-243832,16:27:11.700,-24:38:32.000,139.0,F,,,0.15,,101.0,
444,rOph,J162712.1-243449,16:27:12.100,-24:34:49.000,139.0,II,0.4320000000000001,-9.195,,,31.0,6.382634861905483e-10
445,rOph,J162713.3-244133,16:27:13.300,-24:41:33.000,139.0,III,,,,,,
446,rOph,J162713.7-241817,16:27:13.700,-24:18:17.000,137.2,II,0.57,-8.699,0.15,,350.0,1.9998618696327446e-09
447,rOph,J162713.8-244332,16:27:13.800,-24:43:32.000,140.73,II,0.285,-8.255,0.15,,1311.0,5.559042572704026e-09
448,rOph,J162714.5-242646,16:27:14.500,-24:26:46.000,139.0,F,,,0.15,,327.0,
449,rOph,J162715.1-245139,16:27:15.100,-24:51:39.000,136.14,II,0.378,-105.8,0.15,,,1.5848931924611237e-106
450,rOph,J162715.4-242640,16:27:15.400,-24:26:40.000,139.0,F,,,0.15,,423.00000000000006,
451,rOph,J162715.4-242640 b,16:27:15.400,-24:26:40.000,139.0,b,,,0.15,,237.0,
452,rOph,J162715.5-243054,16:27:15.500,-24:30:54.000,139.0,F,,,0.15,,,
453,rOph,J162715.9-242514,16:27:15.900,-24:25:14.000,139.0,F,,,0.15,,247.00000000000003,
454,rOph,J162716.4-243114,16:27:16.400,-24:31:14.000,139.0,I,,,0.15,,1135.0,
455,rOph,J162717.6-240514,16:27:17.600,-24:05:14.000,138.05,II,0.59,-8.685,,,601.0,2.065380155810527e-09
456,rOph,J162717.6-242856,16:27:17.600,-24:28:56.000,139.0,I,,,0.15,,711.0,
457,rOph,J162717.6-242856 b,16:27:17.600,-24:28:56.000,139.0,b,,,0.15,,75.0,
458,rOph,J162717.6-242856 c,16:27:17.600,-24:28:56.000,139.0,c,,,0.15,,108.0,
459,rOph,J162718.4-243915,16:27:18.400,-24:39:15.000,139.0,I,,,0.15,,1686.0,
460,rOph,J162718.5-242906,16:27:18.500,-24:29:06.000,139.0,II,0.35,-8.46,0.15,,84.0,3.4673685045253096e-09
461,rOph,J162719.2-242844,16:27:19.200,-24:28:44.000,139.0,F,,,0.15,,1383.0,
462,rOph,J162721.5-244143,16:27:21.500,-24:41:43.000,139.0,F,,,0.15,,833.0,
463,rOph,J162721.8-242728,16:27:21.800,-24:27:28.000,139.0,I,,,0.15,,,
464,rOph,J162721.8-242953,16:27:21.800,-24:29:53.000,139.0,I,,,0.15,,314.0,
465,rOph,J162723.0-244807,16:27:23.000,-24:48:07.000,136.24,II,0.214,-105.4,0.15,,,3.9810717055349206e-106
466,rOph,J162724.6-242935,16:27:24.600,-24:29:35.000,139.0,II,,,,,,
467,rOph,J162724.6-244103,16:27:24.600,-24:41:03.000,139.0,I,,,0.15,,269.0,
468,rOph,J162726.2-241923,16:27:26.200,-24:19:23.000,139.0,II,0.06,-9.307,,,48.0,4.931738039549354e-10
469,rOph,J162726.3-244246,16:27:26.300,-24:42:46.000,139.0,F,,,0.15,,143.0,
470,rOph,J162726.6-242554,16:27:26.600,-24:25:54.000,137.27,II,0.033,-105.1,,,100.0,7.943282347242919e-106
471,rOph,J162727.4-243117,16:27:27.400,-24:31:17.000,173.99,II,0.32,-8.339,0.15,,,4.58141886714533e-09
472,rOph,J162728.4-242721,16:27:28.400,-24:27:21.000,139.0,F,0.55,-7.98,0.15,,107.0,1.0471285480508984e-08
473,rOph,J162729.9-243336,16:27:29.900,-24:33:36.000,139.0,III,,,,,,
474,rOph,J162730.2-242743,16:27:30.200,-24:27:43.000,139.0,F,0.5975,-7.888,0.15,,348.0,1.2941958414499863e-08
475,rOph,J162730.8-242456,16:27:30.800,-24:24:56.000,141.89,F,0.263,-9.061,0.15,,122.0,8.68960429286302e-10
476,rOph,J162730.9-242733,16:27:30.900,-24:27:33.000,139.0,I,,,0.15,,,
477,rOph,J162732.1-242943,16:27:32.100,-24:29:43.000,139.0,F,0.115,-105.2,0.15,,258.0,6.309573444801891e-106
478,rOph,J162732.6-243323,16:27:32.600,-24:33:23.000,139.0,II,0.385,-8.88,,,,1.3182567385564047e-09
479,rOph,J162732.7-244500,16:27:32.700,-24:45:00.000,139.0,II,,,,,,
480,rOph,J162732.8-243235,16:27:32.800,-24:32:35.000,139.0,II,0.281,-8.501,,,,3.155004623374631e-09
481,rOph,J162733.1-244115,16:27:33.100,-24:41:15.000,136.55,II,0.875,-7.175,0.15,,1530.0,6.683439175686149e-08
482,rOph,J162736.2-240458,16:27:36.200,-24:04:58.000,147.26,II,0.073,-105.3,,,31.0,5.011872336272755e-106
483,rOph,J162736.7-235827,16:27:36.700,-23:58:27.000,155.42,II,,,,,,
484,rOph,J162737.2-244238,16:27:37.200,-24:42:38.000,139.0,I,,,0.15,,312.0,
485,rOph,J162737.4-241755,16:27:37.400,-24:17:55.000,138.23,II,0.076,-8.906,,,165.0,1.2416523075924095e-09
486,rOph,J162738.3-235732,16:27:38.300,-23:57:32.000,141.11,II,0.69,-105.86,0.15,,314.0,1.3803842646028867e-106
487,rOph,J162738.3-243658,16:27:38.300,-24:36:58.000,139.46,II,0.65,-7.96,0.15,,1483.0,1.0964781961431851e-08
488,rOph,J162738.6-243839,16:27:38.600,-24:38:39.000,139.68,II,,,,,80.0,
489,rOph,J162738.9-244020,16:27:38.900,-24:40:20.000,139.0,I,0.391,-8.953,0.15,,2294.0,1.1142945335917315e-09
490,rOph,J162739.0-235818,16:27:39.000,-23:58:18.000,141.55,II,0.69,-105.85,0.15,,2026.0,1.4125375446227728e-106
491,rOph,J162739.4-243915,16:27:39.400,-24:39:15.000,135.27,II,0.551,-7.892,0.15,,3661.0,1.2823305826560205e-08
492,rOph,J162739.8-244315,16:27:39.800,-24:43:15.000,139.0,F,,,0.15,,4432.0,
493,rOph,J162739.8-244315 b,16:27:39.800,-24:43:15.000,139.0,b,,,0.15,,386.0,
494,rOph,J162740.1-242636,16:27:40.100,-24:26:36.000,139.0,II,,,,,,
495,rOph,J162740.3-242204 b,16:27:40.300,-24:22:04.000,131.94,b,,,0.15,,94.0,
496,rOph,J162740.3-242204,16:27:40.300,-24:22:04.000,131.94,II,,,0.15,,329.0,
497,rOph,J162741.5-243538,16:27:41.500,-24:35:38.000,139.0,III,,,,,,
498,rOph,J162741.6-244645,16:27:41.600,-24:46:45.000,139.0,I,,,0.15,,802.9999999999999,
499,rOph,J162741.7-244336,16:27:41.700,-24:43:36.000,139.0,F,,,0.15,,205.0,
500,rOph,J162741.8-244235,16:27:41.800,-24:42:35.000,139.0,F,,,0.15,,,
501,rOph,J162742.7-243851,16:27:42.700,-24:38:51.000,143.86,II,0.292,-9.061,,,,8.68960429286302e-10
502,rOph,J162743.8-244308,16:27:43.800,-24:43:08.000,139.0,III,,,,,,
503,rOph,J162745.0-240628,16:27:45.000,-24:06:28.000,136.63,II,0.33,-106.0,,,143.0,1e-106
504,rOph,J162745.8-244454,16:27:45.800,-24:44:54.000,139.0,I,,,0.15,,,
505,rOph,J162746.3-243141,16:27:46.300,-24:31:41.000,144.59,II,0.1,-9.243,,,,5.714786366718666e-10
506,rOph,J162747.1-244535,16:27:47.100,-24:45:35.000,139.0,II,0.14400000000000002,-9.338,,,152.0,4.5919801283686947e-10
507,rOph,J162748.2-244225,16:27:48.200,-24:42:25.000,139.0,I,,,0.15,,77.0,
508,rOph,J162749.3-242452,16:27:49.300,-24:24:52.000,139.0,II,,,,,,
509,rOph,J162749.8-242522,16:27:49.800,-24:25:22.000,156.96,II,0.1375,-7.907999999999999,,,40.0,1.2359474334445145e-08
510,rOph,J162751.8-243145,16:27:51.800,-24:31:45.000,139.0,F,,,0.15,,170.0,
511,rOph,J162755.2-240215,16:27:55.200,-24:02:15.000,150.26,II,,,,,39.0,
512,rOph,J162755.2-242839,16:27:55.200,-24:28:39.000,139.0,II,0.079,-9.975,,,114.0,1.0592537251772898e-10
513,rOph,J162755.6-242618,16:27:55.600,-24:26:18.000,131.65,II,0.368,-8.17,0.15,,179.0,6.760829753919819e-09
514,rOph,J162758.9-243515,16:27:58.900,-24:35:15.000,139.0,II,,,,,,
515,rOph,J162802.6-235504,16:28:02.600,-23:55:04.000,141.64,II,,,,,,
516,rOph,J162804.5-243448,16:28:04.500,-24:34:48.000,139.0,II,,,,,,
517,rOph,J162804.8-243710,16:28:04.800,-24:37:10.000,187.58,III,,,,,,
518,rOph,J162804.8-245035,16:28:04.800,-24:50:35.000,162.68,II,,,,,74.0,
519,rOph,J162812.7-241136,16:28:12.700,-24:11:36.000,138.73,II,0.15,-8.891,,,238.0,1.2852866599436155e-09
520,rOph,J162813.7-243139,16:28:13.700,-24:31:39.000,139.0,II,,,,,1611.0,
521,rOph,J162813.8-243249,16:28:13.800,-24:32:49.000,141.16,II,0.189,-9.096,,,,8.016780633876789e-10
522,rOph,J162816.5-243658,16:28:16.500,-24:36:58.000,134.98,II,0.2075,-7.928,0.15,,5383.0,1.1803206356517298e-08
523,rOph,J162816.7-240514,16:28:16.700,-24:05:14.000,138.12,II,0.76,-8.89,0.15,,99.0,1.2882495516931322e-09
524,rOph,J162817.7-241705,16:28:17.700,-24:17:05.000,127.12,II,0.091,-105.6,,,79.0,2.511886431509613e-106
525,rOph,J162821.5-242155,16:28:21.500,-24:21:55.000,139.21,III,,,,,,
526,rOph,J162821.7-244247,16:28:21.700,-24:42:47.000,139.0,II,,,,,217.0,
527,rOph,J162823.3-242241,16:28:23.300,-24:22:41.000,146.81,II,0.69,-105.85,0.15,,1099.0,1.4125375446227728e-106
528,rOph,J162832.7-242245,16:28:32.700,-24:22:45.000,138.09,III,,,,,23.0,
529,rOph,J162845.3-242819 b,16:28:45.300,-24:28:19.000,139.0,b,0.378,-105.1,0.15,,871.0000000000001,7.943282347242919e-106
530,rOph,J162845.3-242819,16:28:45.300,-24:28:19.000,139.0,II,0.378,-105.1,0.15,,3484.0000000000005,7.943282347242919e-106
531,rOph,J162847.0-242814,16:28:47.000,-24:28:14.000,132.19,II,0.054000000000000006,-105.4,,,57.99999999999999,3.9810717055349206e-106
532,rOph,J162848.7-242632,16:28:48.700,-24:26:32.000,149.32,II,0.048,-105.5,,,,3.1622776601683795e-106
533,rOph,J162854.1-244744,16:28:54.100,-24:47:44.000,136.46,II,0.396,-105.7,0.15,,758.0,1.9952623149688666e-106
534,rOph,J162856.0-233107,16:28:56.000,-23:31:07.000,143.46,II,,,,,,
535,rOph,J162856.9-243110,16:28:56.900,-24:31:10.000,143.35,II,0.092,-105.4,,,112.0,3.9810717055349206e-106
536,rOph,J162857.9-244055,16:28:57.900,-24:40:55.000,139.0,I,,,0.15,,172.0,
537,rOph,J162903.2-242749,16:29:03.200,-24:27:49.000,140.9,II,,,,,76.0,
538,rOph,J162908.2-241547,16:29:08.200,-24:15:47.000,140.69,II,,,,,39.0,
539,rOph,J162935.1-243610,16:29:35.100,-24:36:10.000,139.0,III,,,,,,
540,rOph,J162944.3-244122,16:29:44.300,-24:41:22.000,139.0,II,,,0.15,,,
541,rOph,J162948.3-233103,16:29:48.300,-23:31:03.000,133.49,II,,,,,,
542,rOph,J162954.6-245846,16:29:54.600,-24:58:46.000,132.24,III,,,,,,
543,rOph,J163019.8-240256,16:30:19.800,-24:02:56.000,148.66,III,,,,,,
544,rOph,J163020.0-233108,16:30:20.000,-23:31:08.000,141.41,III,,,,,,
545,rOph,J163023.4-245416,16:30:23.400,-24:54:16.000,141.13,II,,,0.15,,447.0,
546,rOph,J163026.7-235909,16:30:26.700,-23:59:09.000,134.88,II,,,,,174.0,
547,rOph,J163033.9-242806,16:30:33.900,-24:28:06.000,146.61,II,,,,,,
548,rOph,J163053.5-242454,16:30:53.500,-24:24:54.000,148.33,II,,,,,89.0,
549,rOph,J163102.4-240843,16:31:02.400,-24:08:43.000,132.53,II,,,,,,
550,rOph,J163105.2-240440,16:31:05.200,-24:04:40.000,130.8,II,,,0.15,,74.0,
551,rOph,J163115.7-243402,16:31:15.700,-24:34:02.000,139.0,II,,,0.15,,134.0,
552,rOph,J163129.2-240431,16:31:29.200,-24:04:31.000,133.56,F,,,0.15,,39.0,
553,rOph,J163130.9-242440 b,16:31:30.900,-24:24:40.000,139.0,b,,,0.15,,188.0,
554,rOph,J163130.9-242440,16:31:30.900,-24:24:40.000,139.0,II,,,0.15,,923.0,
555,rOph,J163131.2-242628,16:31:31.200,-24:26:28.000,139.0,F,,,0.15,,2446.0,
556,rOph,J163133.4-242737,16:31:33.400,-24:27:37.000,146.32,II,,,0.15,,5461.0,
557,rOph,J163133.8-240446,16:31:33.800,-24:04:46.000,136.75,F,,,0.15,,117.0,
558,rOph,J163134.1-240060,16:31:34.100,-24:01:00.000,139.0,II,,,,,,
559,rOph,J163134.3-240325,16:31:34.300,-24:03:25.000,123.42,F,,,0.15,,30.0,
560,rOph,J163135.6-240129,16:31:35.600,-24:01:29.000,139.0,I,,,0.15,,19428.0,
561,rOph,J163136.8-240420,16:31:36.800,-24:04:20.000,139.0,I,,,0.15,,775.0,
562,rOph,J163143.8-245525,16:31:43.800,-24:55:25.000,150.16,I,,,0.15,,647.0,
563,rOph,J163144.6-240213,16:31:44.600,-24:02:13.000,132.04,II,,,0.15,,456.0,
564,rOph,J163145.4-244307,16:31:45.400,-24:43:07.000,144.07,II,,,,,37.0,
565,rOph,J163145.8-243909,16:31:45.800,-24:39:09.000,150.95,II,,,,,129.0,
566,rOph,J163148.9-245429,16:31:48.900,-24:54:29.000,139.0,II,,,,,168.0,
567,rOph,J163152.1-245616,16:31:52.100,-24:56:16.000,152.98,F,,,0.15,,3189.0,
568,rOph,J163152.1-245616 b,16:31:52.100,-24:56:16.000,152.98,b,,,0.15,,154.0,
569,rOph,J163152.5-245536,16:31:52.500,-24:55:36.000,139.0,I,,,0.15,,200.0,
570,rOph,J163153.4-245505,16:31:53.400,-24:55:05.000,139.0,II,,,,,42.0,
571,rOph,J163154.4-250349,16:31:54.400,-25:03:49.000,143.31,II,,,0.15,,,
572,rOph,J163154.7-250324,16:31:54.700,-25:03:24.000,139.0,II,,,0.15,,,
573,rOph,J163159.3-245441,16:31:59.300,-24:54:41.000,148.33,II,,,,,1254.0,
574,rOph,J163205.5-250236,16:32:05.500,-25:02:36.000,148.27,II,,,0.15,,219.0,
575,rOph,J163211.8-244021,16:32:11.800,-24:40:21.000,139.0,III,,,,,26.0,
576,rOph,J163221.0-243036,16:32:21.000,-24:30:36.000,153.58,F,,,0.15,,836.0,
577,rOph,J163221.9-244215,16:32:21.900,-24:42:15.000,142.26,II,,,0.15,,234.0,
578,rOph,J163227.9-252502,16:32:27.900,-25:25:02.000,148.69,II,,,,,37.0,
579,rOph,J163355.6-244205,16:33:55.600,-24:42:05.000,143.84,II,,,0.15,,4959.0,
580,rOph,J163524.3-243359,16:35:24.300,-24:33:59.000,139.0,II,,,,,,
581,rOph,J163945.4-240204,16:39:45.400,-24:02:04.000,139.0,II,,,0.15,,11117.0,
582,rOph,J163952.9-241931,16:39:52.900,-24:19:31.000,139.0,F,,,0.15,,456.0,
583,rOph,J164424.3-240125,16:44:24.300,-24:01:25.000,139.0,F,,,0.15,,,
584,rOph,J164526.7-240305,16:45:26.700,-24:03:05.000,139.0,I,,,0.15,,,
585,ChamII,IRAS 12416-7703,12:45:06.430,-77:20:13.520,197.0,II,,,,,,
586,ChamII,IRAS12496-7650,12:53:17.170,-77:07:10.630,197.0,II,2.1,-106.15,0.17,,77313.0,7.079457843841287e-107
587,ChamII,IRAS12500-7658,12:53:42.790,-77:15:11.590,197.0,I,,,0.17,,5412.0,
588,ChamII,Sz 46,12:56:33.590,-76:45:45.180,194.49,II,0.464,-105.8,0.17,,399.0,1.5848931924611237e-106
589,ChamII,IRAS12535-7623,12:57:11.640,-76:40:11.140,197.0,II,0.46,-105.53,0.17,,119.0,2.951209226666378e-106
590,ChamII,SSTc2d J125758.7-770120,12:57:58.700,-77:01:19.500,197.0,II,,,,,,
591,ChamII,ISO-CHAII 13,12:58:06.670,-77:09:09.220,197.0,II,0.038,-105.2,0.17,,,6.309573444801891e-106
592,ChamII,C41,12:59:09.860,-76:51:03.490,190.85,Flat,,,,,,
593,ChamII,Sz 48NE,13:00:53.150,-77:09:09.180,201.35,II,0.532,-105.8,,,,1.5848931924611237e-106
594,ChamII,Sz 49,13:00:53.260,-76:54:14.980,194.36,II,0.597,-106.0,0.17,,1166.0,1e-106
595,ChamII,Sz 48SW,13:00:53.560,-77:09:08.280,192.16,II,0.485,-105.8,,,,1.5848931924611237e-106
596,ChamII,Sz 50,13:00:55.280,-77:10:22.010,197.0,II,0.25,-8.786,0.17,,1196.0,1.6368165214278103e-09
597,ChamII,J130059.3-771403,13:00:59.210,-77:14:02.800,200.18,II,,,0.17,,643.0,
598,ChamII,Sz 51,13:01:58.940,-77:51:21.740,197.37,II,0.52,-105.8,0.17,,473.00000000000006,1.5848931924611237e-106
599,ChamII,CM Cha,13:02:13.490,-76:37:57.680,191.89,II,0.61,-105.84,0.17,,4033.0,1.4454397707459162e-106
600,ChamII,J13022287-7734494,13:02:22.820,-77:34:49.510,203.38,II,0.116,-105.3,0.17,,102.0,5.011872336272755e-106
601,ChamII,Hn 22,13:04:22.780,-76:50:05.860,198.5,II,0.368,-105.7,0.17,,2428.0,1.9952623149688666e-106
602,ChamII,Hn 23,13:04:24.060,-76:50:01.390,196.74,II,0.75,-105.9,0.17,,2269.0,1.2589254117941507e-106
603,ChamII,Sz 52,13:04:24.840,-77:52:30.110,201.09,II,0.334,-105.7,0.17,,133.0,1.9952623149688666e-106
604,ChamII,Hn 24,13:04:55.740,-77:39:49.210,196.68,II,0.551,-8.696,0.17,,1150.0,2.0137242498623895e-09
605,ChamII,Hn 25,13:05:08.510,-77:33:42.660,196.16,II,0.326,-105.5,0.17,,585.0,3.1622776601683795e-106
606,ChamII,Sz 53,13:05:12.660,-77:30:52.560,194.95,II,0.47,-105.8,0.17,,517.0,1.5848931924611237e-106
607,ChamII,Sz 54,13:05:20.800,-77:39:01.480,195.63,II,0.68,-105.69,0.17,,1140.0,2.04173794466954e-106
608,ChamII,J130521.7-773810,13:05:21.660,-77:38:10.140,192.2,Flat,,,0.17,,,
609,ChamII,J130529.0-774140,13:05:29.040,-77:41:40.060,197.0,II,,,0.17,,,
610,ChamII,SSTc2d J130540.8-773958,13:05:40.800,-77:39:58.200,197.0,II,,,,,,
611,ChamII,Sz 55,13:06:30.490,-77:34:00.120,194.7,II,0.41,-105.9,,,,1.2589254117941507e-106
612,ChamII,Sz 56,13:06:38.700,-77:30:35.390,193.09,II,0.22,-105.36,0.17,,105.0,4.365158322401665e-106
613,ChamII,Sz 57,13:06:56.560,-77:23:09.460,197.0,II,0.18,-105.1,,,,7.943282347242919e-106
614,ChamII,Sz 58,13:06:57.350,-77:23:41.460,197.0,II,0.8,-105.98,0.17,,6625.0,1.04712854805089e-106
615,ChamII,Sz 59,13:07:09.230,-77:30:30.240,197.0,II,0.58,-105.74,0.17,,544.0,1.819700858610005e-106
616,ChamII,J13071806-7740529,13:07:18.040,-77:40:53.000,202.72,II,,,0.17,,,
617,ChamII,Sz 60E,13:07:23.330,-77:37:23.200,198.53,II,0.195,-105.3,,,,5.011872336272755e-106
618,ChamII,Hn 26,13:07:48.500,-77:41:21.730,197.77,II,0.37,-105.7,0.17,,,1.9952623149688666e-106
619,ChamII,Sz 61,13:08:06.330,-77:55:05.050,194.54,II,0.71,-105.83,0.17,,4419.0,1.4791083881682132e-106
620,ChamII,J13082714-7743232,13:08:27.190,-77:43:23.410,205.35,II,0.149,-105.4,0.17,,,3.9810717055349206e-106
621,ChamII,IRAS F13052-7653NW,13:09:09.810,-77:09:43.520,196.65,II,0.596,-106.0,,,,1e-106
622,ChamII,IRAS F13052-7653N,13:09:10.980,-77:09:44.140,197.0,II,0.405,-105.7,,,,1.9952623149688666e-106
623,ChamII,Sz 62,13:09:50.440,-77:57:23.940,197.0,II,0.33,-105.5,0.17,,,3.1622776601683795e-106
624,ChamII,Sz 63,13:10:04.120,-77:10:44.620,200.84,II,0.29100000000000004,-105.5,0.17,,2256.0,3.1622776601683795e-106
625,ChamII,Sz 64,13:14:03.830,-77:53:07.480,193.6,II,0.13,-105.3,,,,5.011872336272755e-106
626,Taurus,IRAS 04108+2910,04:13:57.378,=+29:18:19.330,119.68,II,0.299,-105.8,,,,1.5848931924611237e-106
627,Taurus,J04141188+2811535,04:14:11.881,=+28:11:53.510,131.2,II,0.052000000000000005,-8.876,,0.15,,1.3304544179780928e-09
628,Taurus,FM Tau,04:14:13.582,=+28:12:49.240,132.01,II,0.18,-8.082,,,524.0,8.279421637123328e-09
629,Taurus,FN Tau,04:14:14.590,=+28:27:58.060,129.89,II,0.27,-105.46,,,643.0,3.4673685045253663e-106
630,Taurus,CW Tau,04:14:17.003,=+28:10:57.840,131.55,II,1.11,-106.23,,,2557.0,5.888436553555836e-107
631,Taurus,CIDA 1,04:14:17.609,=+28:06:09.700,134.62,II,0.17800000000000002,-8.033,,,691.0,9.268298233793504e-09
632,Taurus,MHO 1,04:14:26.268,=+28:06:03.250,133.95,II,0.374,-106.1,0.54,1.95,10951.0,7.94328234724292e-107
633,Taurus,MHO 2 AB,04:14:26.399,=+28:05:59.720,131.03,II,,,0.54,1.95,6467.0,
634,Taurus,MHO 3 AB,04:14:30.546,=+28:05:14.730,141.0,II,,,,,,
635,Taurus,FP Tau,04:14:47.309,=+26:46:26.440,127.48,II,0.319,-105.6,,0.15,,2.511886431509613e-106
636,Taurus,CX Tau,04:14:47.865,=+26:48:11.010,126.73,II,0.326,-105.7,,,421.0,1.9952623149688666e-106
637,Taurus,FO Tau A,04:14:49.290,=+28:12:30.600,141.0,II,0.2599,-105.4,,,170.0,3.9810717055349206e-106
638,Taurus,FO Tau B,04:14:49.290,=+28:12:30.600,141.0,II,0.2824,-105.4,,,163.0,3.9810717055349206e-106
639,Taurus,J04153916+2818586,04:15:39.163,=+28:18:58.620,132.64,II,0.204,-105.4,,,666.0,3.9810717055349206e-106
640,Taurus,IRAS 04125+2902,04:15:42.787,=+29:09:59.770,160.07,II,0.459,-105.8,,,1441.0,1.5848931924611237e-106
641,Taurus,J04155799+2746175,04:15:57.994,=+27:46:17.570,133.16,II,0.109,-105.4,,,631.0,3.9810717055349206e-106
642,Taurus,J04161210+2756385,04:16:12.104,=+27:56:38.580,134.66,II,0.119,-105.5,,0.15,,3.1622776601683795e-106
643,Taurus,J04163911+2858491,04:16:39.116,=+28:58:49.140,141.0,II,0.081,-105.4,,,,3.9810717055349206e-106
644,Taurus,CY Tau,04:17:33.726,=+28:20:46.850,126.33,II,0.341,-8.204,,,3581.0,6.251726927756849e-09
645,Taurus,KPNO 10,04:17:49.554,=+28:13:31.850,135.81,II,0.11,-105.4,,,407.0,3.9810717055349206e-106
646,Taurus,V410 X-ray 1,04:17:49.655,=+28:29:36.270,130.98,II,0.21600000000000005,-105.5,,,,3.1622776601683795e-106
647,Taurus,V409 Tau,04:18:10.785,=+25:19:57.390,129.67,II,0.52,-105.9,0.046,,961.0,1.2589254117941507e-106
648,Taurus,V410 Anon 13,04:18:17.106,=+28:28:41.920,127.39,II,0.108,-105.3,,0.15,,5.011872336272755e-106
649,Taurus,DD Tau A,04:18:31.128,=+28:16:29.020,126.7,II,0.2199,-105.2,,,417.0,6.309573444801891e-106
650,Taurus,DD Tau B,04:18:31.128,=+28:16:29.020,126.7,II,0.2824,-105.4,,,154.0,3.9810717055349206e-106
651,Taurus,CZ Tau A,04:18:31.587,=+28:16:58.530,141.0,II,0.281,-105.4,,,,3.9810717055349206e-106
652,Taurus,CZ Tau B,04:18:31.587,=+28:16:58.530,141.0,II,0.281,-105.4,,,34.0,3.9810717055349206e-106
653,Taurus,V410 X-ray 2,04:18:34.447,=+28:30:30.230,141.0,II,,,,,852.9999999999999,
654,Taurus,V892 Tau AB,04:18:40.617,=+28:19:15.510,141.0,II,,,,,12683.0,
655,Taurus,LR 1,04:18:41.332,=+28:27:25.010,141.0,II,,,,,1705.9999999999998,
656,Taurus,V410 X-ray 7 AB,04:18:42.504,=+28:18:49.850,134.56,II,,,,,,
657,Taurus,V410 X-ray 6,04:19:01.106,=+28:19:42.050,128.2,II,0.1574,-105.1,,0.15,,7.943282347242919e-106
658,Taurus,KPNO 12,04:19:01.270,=+28:02:48.700,141.0,II,,,,,,
659,Taurus,FQ Tau A,04:19:12.811,=+28:29:33.100,141.0,II,,,0.15,0.42,172.0,
660,Taurus,FQ Tau B,04:19:12.811,=+28:29:33.100,141.0,II,,,0.15,0.42,150.0,
661,Taurus,BP Tau,04:19:15.835,=+29:06:26.893,141.0,II,0.486,-7.29,0.045,,2501.0,5.128613839913648e-08
662,Taurus,V819 Tau,04:19:26.260,=+28:26:14.300,129.3,II,0.57,-105.8,,,25.0,1.5848931924611237e-106
663,Taurus,FR Tau,04:19:35.455,=+28:27:21.810,126.48,II,0.122,-105.3,,,,5.011872336272755e-106
664,Taurus,J04201611+2821325,04:20:16.111,=+28:21:32.550,131.29,II,0.046,-105.4,,,,3.9810717055349206e-106
665,Taurus,J04202144+2813491,04:20:21.443,=+28:13:49.170,141.0,II,,,,,2902.0,
666,Taurus,J04202555+2700355,04:20:25.554,=+27:00:35.550,165.67,II,0.095,-105.4,,0.15,651.0,3.9810717055349206e-106
667,Taurus,IRAS 04173+2812,04:20:25.834,=+28:19:23.750,141.83,II,,,,,,
668,Taurus,J04202606+2804089,04:20:26.066,=+28:04:08.950,128.02,II,0.245,-105.7,,,,1.9952623149688666e-106
669,Taurus,J04210795+2702204,04:21:07.953,=+27:02:20.420,141.0,II,,,,,,
670,Taurus,J04210934+2750368,04:21:09.343,=+27:50:36.840,130.26,II,0.108,-105.3,,,,5.011872336272755e-106
671,Taurus,J04213459+2701388,04:21:34.599,=+27:01:38.850,164.4,II,0.1274,-105.3,,0.15,,5.011872336272755e-106
672,Taurus,IRAS 04187+1927,04:21:43.236,=+19:34:13.340,147.16,II,0.3625,-105.4,,,226.0,3.9810717055349206e-106
673,Taurus,J04214631+2659296,04:21:46.315,=+26:59:29.610,163.03,II,0.07,-105.3,,,,5.011872336272755e-106
674,Taurus,DE Tau,04:21:55.636,=+27:55:06.060,128.02,II,0.326,-7.576,,,1440.0,2.6546055619755415e-08
675,Taurus,RY Tau,04:21:57.410,=+28:26:35.571,141.0,II,2.75,-7.55,0.051,,11653.0,2.818382931264455e-08
676,Taurus,T Tau N,04:21:59.420,=+19:32:06.480,141.0,II,2.0,-7.05,0.052000000000000005,,9954.0,8.912509381337459e-08
677,Taurus,FS Tau A,04:22:02.180,=+26:57:30.500,133.88,II,0.251,-105.8,,,115.0,1.5848931924611237e-106
678,Taurus,FS Tau B,04:22:02.180,=+26:57:30.500,133.88,II,0.251,-105.8,,,,1.5848931924611237e-106
