x,y
5.753052098945504156e+01,5.606030877276471092e-01
5.759054096224874542e+01,5.604343799094855250e-01
5.765056093504244927e+01,5.602938405188342408e-01
5.771058090783614603e+01,5.601778276762742204e-01
5.777060088062985699e+01,5.600834160096133107e-01
5.783062085342356085e+01,5.600082634430729733e-01
5.789064082621726470e+01,5.599505073853214832e-01
5.795066079901096856e+01,5.599086864215206960e-01
5.801068077180467242e+01,5.598816835343075615e-01
5.807070074459837628e+01,5.598686869081139772e-01
5.813072071739208013e+01,5.598691644123722222e-01
5.819074069018578399e+01,5.598828478796661345e-01
5.825076066297948785e+01,5.599097233121912431e-01
5.831078063577319881e+01,5.599500232193160842e-01
5.837080060856689556e+01,5.600042174904567016e-01
5.843082058136059942e+01,5.600729996262978627e-01
5.849084055415430328e+01,5.601572658531803750e-01
5.855086052694800713e+01,5.602580856473133863e-01
5.861088049974171099e+01,5.603766634422165938e-01
5.867090047253542195e+01,5.605142926483178689e-01
5.873092044532912581e+01,5.606723043761745462e-01
5.874337878600510265e+01,5.607093578336151962e-01
5.879094041812282256e+01,5.608511129587110400e-01
5.885096039091652642e+01,5.610525559405314944e-01
5.891098036371023028e+01,5.612778629842537503e-01
5.897100033650393414e+01,5.615278197707185281e-01
5.903102030929763089e+01,5.618029956258173696e-01
5.906229395939390514e+01,5.619588748914261522e-01
5.909104028209134185e+01,5.621026987298076705e-01
5.915106025488504571e+01,5.624262986912283990e-01
5.921108022767874957e+01,5.627743405332104043e-01
5.927110020047246053e+01,5.631461567050459749e-01
5.928067777783467562e+01,5.632083919492371082e-01
5.933112017326615728e+01,5.635365256355410191e-01
5.939114014605986114e+01,5.639461927449155310e-01
5.945116011885356500e+01,5.643743205404682106e-01
5.946259555714659228e+01,5.644579090070480643e-01
5.951118009164726175e+01,5.648115248957455981e-01
5.957120006444097271e+01,5.652595481720339432e-01
5.962987700696957205e+01,5.657074260648590203e-01
5.963122003723467657e+01,5.657175613577515305e-01
5.969124001002838042e+01,5.661688671777994619e-01
5.975125998282208428e+01,5.666231051827490539e-01
5.979555381513603152e+01,5.669569431226699763e-01
5.981127995561578814e+01,5.670729428207988976e-01
5.987129992840949910e+01,5.675054830420107610e-01
5.993131990120319585e+01,5.679316867266548385e-01
5.997106879685985348e+01,5.682064601804808213e-01
5.999133987399689971e+01,5.683419850930651052e-01
6.005135984679060357e+01,5.687265353174969507e-01
6.011137981958430743e+01,5.690987137470822077e-01
6.017102369883321700e+01,5.694559772382918883e-01
6.017139979237801128e+01,5.694581301385114314e-01
6.023141976517171514e+01,5.697816590265525338e-01
6.029143973796541900e+01,5.700930696435442258e-01
6.035145971075912996e+01,5.703943327023599519e-01
6.041147968355282671e+01,5.706881159502263934e-01
6.041515186961332518e+01,5.707054942961027333e-01
6.047149965634653057e+01,5.709569595249310847e-01
6.053151962914023443e+01,5.712236883311283542e-01
6.059153960193393829e+01,5.714939464098079958e-01
6.065155957472764214e+01,5.717723255184344877e-01
6.068946721281867696e+01,5.719550113539138003e-01
6.071157954752134600e+01,5.720552247767636267e-01
6.077159952031504986e+01,5.723405502403038358e-01
6.083161949310876082e+01,5.726466170459583171e-01
6.089163946590245757e+01,5.729773751513672631e-01
6.092987750914602429e+01,5.732045284117246453e-01
6.095165943869616143e+01,5.733272468316905623e-01
6.101167941148986529e+01,5.736916659197582868e-01
6.107169938428356915e+01,5.740893872000876197e-01
6.112239183402095222e+01,5.744540454695356013e-01
6.113171935707727300e+01,5.745186434760275462e-01
6.119173932987098397e+01,5.749633523202646312e-01
6.125175930266468072e+01,5.754481459638545182e-01
6.128132601185281203e+01,5.757035625273465573e-01
6.131177927545838457e+01,5.759621118400993778e-01
6.137179924825208843e+01,5.765089805061792694e-01
6.141700505976768909e+01,5.769530795851575133e-01
6.143181922104579229e+01,5.770986719474553439e-01
6.149183919383949615e+01,5.777239027254111869e-01
6.153444756286901907e+01,5.782025966429684694e-01
6.155185916663320000e+01,5.784020419417453818e-01
6.161187913942690386e+01,5.791317865183857050e-01
6.163665739156267875e+01,5.794521137007793143e-01
6.167189911222060772e+01,5.799258900986242748e-01
6.172544974990013600e+01,5.807016307585903814e-01
6.173191908501431158e+01,5.808000154092367584e-01
6.179193905780800833e+01,5.817617935507517490e-01
6.180315512544701306e+01,5.819511478164012264e-01
6.185195903060172640e+01,5.828316891825700008e-01
6.187134590373520382e+01,5.832006648742122934e-01
6.191197900339542315e+01,5.840302211450234537e-01
6.193166474292617352e+01,5.844501819320231384e-01
6.197199897618912701e+01,5.853721294344403914e-01
6.198585651865781898e+01,5.856996989898342054e-01
6.203201894898283086e+01,5.868604684743878863e-01
6.203546918773500352e+01,5.869492160476450504e-01
6.208278190439624922e+01,5.881987331054561174e-01
6.209203892177653472e+01,5.884475657590728659e-01
6.212890261365356537e+01,5.894482501632669624e-01
6.215205889457024568e+01,5.900786801402407855e-01
6.217480396846774227e+01,5.906977672210779184e-01
6.221207886736394244e+01,5.916912452984055548e-01
6.222177685683168136e+01,5.919472842788888745e-01
6.227131442732694211e+01,5.931968013366998305e-01
6.227209884015764629e+01,5.932151705037026490e-01
6.232552244773734884e+01,5.944463183945107865e-01
6.233211881295135015e+01,5.945878270662336984e-01
6.238488035526414421e+01,5.956958354523218535e-01
6.239213878574505401e+01,5.958364069968000720e-01
6.245083147798478507e+01,5.969453525101326985e-01
6.245215875853875787e+01,5.969683745938203501e-01
6.251217873133245462e+01,5.979638552706035837e-01
6.252658688494021533e+01,5.981948695679436545e-01
6.257219870412617269e+01,5.988629632737693109e-01
6.261307831963749493e+01,5.994443866257546105e-01
6.263221867691986944e+01,5.996940752181760814e-01
6.269223864971357330e+01,6.004378788744885176e-01
6.271407316342659044e+01,6.006939036835654555e-01
6.275225862250727715e+01,6.011058903936044029e-01
