x,y
6.263243667484622534e+01,5.666828748578094377e-01
6.272740255410769805e+01,5.665071740554423751e-01
6.282236843336916365e+01,5.663616873583097178e-01
6.291733431263061505e+01,5.662470129217858084e-01
6.301230019189208065e+01,5.661638150907939426e-01
6.310726607115353204e+01,5.661127858695345072e-01
6.320223195041500475e+01,5.660946121597754122e-01
6.329719782967646324e+01,5.661099496700494615e-01
6.339216370893792885e+01,5.661594041778270636e-01
6.348712958819938024e+01,5.662435205592368792e-01
6.358209546746084584e+01,5.663627797130242891e-01
6.367706134672231144e+01,5.665176032255645477e-01
6.377202722598376994e+01,5.667083653783354658e-01
6.383113956478898388e+01,5.668494802095458418e-01
6.386699310524522843e+01,5.669319463025030981e-01
6.396195898450669404e+01,5.671850798919123582e-01
6.405692486376815964e+01,5.674737983100515137e-01
6.415189074302961103e+01,5.677984086706739930e-01
6.424685662229107663e+01,5.681592737261731418e-01
6.433280930673483056e+01,5.685187422315000072e-01
6.434182250155254224e+01,5.685554152148387663e-01
6.443678838081399363e+01,5.689736686939326216e-01
6.453175426007545923e+01,5.694279438343226030e-01
6.462672013933692483e+01,5.699189172520912061e-01
6.467547426333038629e+01,5.701880042534541726e-01
6.472168601859837622e+01,5.704377436439441729e-01
6.481665189785984182e+01,5.709827920506937993e-01
6.491161777712130743e+01,5.715649545343433058e-01
6.495686114352571394e+01,5.718572662754082270e-01
6.500658365638275882e+01,5.721731399829685927e-01
6.510154953564422442e+01,5.728072573256344224e-01
6.519651541490569002e+01,5.734796036016184262e-01
6.520292491686871017e+01,5.735265282973622814e-01
6.529148129416714141e+01,5.741660027699680979e-01
6.538644717342860702e+01,5.748886045352580298e-01
6.542533906303327740e+01,5.751957903193163357e-01
6.548141305269007262e+01,5.756337390872213744e-01
6.557637893195152401e+01,5.764053097221598643e-01
6.563085692860957465e+01,5.768650523412705011e-01
6.567134481121298961e+01,5.772036989385083139e-01
6.576631069047445521e+01,5.780230443491523040e-01
6.582350690495162837e+01,5.785343143632245555e-01
6.586127656973590661e+01,5.788696726883520993e-01
6.595624244899737221e+01,5.797356438407667012e-01
6.600604979842087516e+01,5.802035763851787209e-01
6.605120832825883781e+01,5.806258885706875317e-01
6.614617420752028920e+01,5.815372445472224427e-01
6.618040651488004755e+01,5.818728384071327753e-01
6.624114008678175480e+01,5.824667150513378466e-01
6.633610596604322041e+01,5.834218089754753533e-01
6.634794712770693081e+01,5.835421004290868296e-01
6.643107184530467180e+01,5.843859808026105052e-01
6.651020950019594125e+01,5.852113624510408840e-01
6.652603772456613740e+01,5.853768172616440335e-01
6.662100360382760300e+01,5.863757434930967349e-01
6.666824073766598246e+01,5.868806244729950494e-01
6.671596948308905439e+01,5.873925672259322495e-01
6.681093536235051999e+01,5.884244579099422445e-01
6.682249086608499056e+01,5.885498864949492148e-01
6.690590124161198560e+01,5.894589900257789505e-01
6.697489602777230289e+01,5.902191485169032692e-01
6.700086712087343699e+01,5.905068697687744228e-01
6.709583300013490259e+01,5.915550390723313123e-01
6.712617060421578685e+01,5.918884105388573236e-01
6.719079887939636819e+01,5.926015160984319241e-01
6.727754813889063712e+01,5.935576725608113779e-01
6.728576475865781958e+01,5.936485480674842385e-01
6.738073063791927098e+01,5.946774854070754346e-01
6.743199584952745340e+01,5.952269345827654323e-01
6.747569651718075079e+01,5.956949846111228020e-01
6.757066239644220218e+01,5.966932038663101956e-01
6.759051946867849381e+01,5.968961966047195977e-01
6.766562827570366778e+01,5.976592324860157124e-01
6.775671177195053474e+01,5.985654586266737631e-01
6.776059415496513338e+01,5.986036738310771543e-01
6.785556003422658478e+01,5.995002272908847019e-01
6.793554652032423746e+01,6.002347206486278175e-01
6.795052591348805038e+01,6.003697829247068851e-01
6.804549179274951598e+01,6.011878871177731565e-01
6.813143694696350394e+01,6.019039826705818719e-01
6.814045767201098158e+01,6.019772201654562949e-01
6.823542355127243297e+01,6.027105911919035108e-01
6.833038943053389858e+01,6.034189974607493401e-01
6.835204169399872853e+01,6.035732446925359262e-01
6.842535530979536418e+01,6.040782504784106832e-01
6.852032118905681557e+01,6.047098095462886125e-01
6.860282146738705933e+01,6.052425067144899806e-01
6.861528706831828117e+01,6.053199275957480419e-01
6.871025294757974677e+01,6.058893918462536776e-01
6.880521882684121238e+01,6.064510624087875446e-01
6.888376019266230799e+01,6.069117687364441460e-01
6.890018470610266377e+01,6.070042026505090282e-01
6.899515058536412937e+01,6.075341209368869677e-01
6.909011646462559497e+01,6.080728971507615155e-01
6.917744833845134167e+01,6.085810307583983114e-01
6.918508234388704636e+01,6.086236670484634903e-01
6.928004822314851197e+01,6.091649997568515662e-01
6.937501410240997757e+01,6.097338488925940769e-01
6.945666033471134426e+01,6.102502927803523658e-01
6.946997998167142896e+01,6.103313878160834260e-01
6.956494586093289456e+01,6.109370527107540472e-01
6.965991174019436016e+01,6.115899415863915722e-01
6.970489657441964937e+01,6.119195548023064202e-01
6.975487761945581155e+01,6.122734781405324567e-01
6.984984349871727716e+01,6.129963357085481679e-01
6.992160759157940220e+01,6.135888168242604745e-01
6.994480937797874276e+01,6.137740762234890068e-01
7.003977525724019415e+01,6.145852327072940380e-01
7.011201669227102684e+01,6.152580788462146399e-01
7.013474113650165975e+01,6.154628639467812912e-01
7.022970701576312536e+01,6.163788939634622377e-01
7.028223661129506183e+01,6.169273408681686943e-01
7.032467289502457675e+01,6.173559874187135588e-01
7.041963877428604235e+01,6.183911171062431711e-01
7.043739695604371320e+01,6.185966028901228597e-01
7.051460465354750795e+01,6.194602865885998622e-01
7.058133090389887343e+01,6.202658649120769141e-01
7.060957053280895934e+01,6.205943199123054033e-01
7.070453641207042494e+01,6.217718704475178049e-01
7.071705442084258664e+01,6.219351269340309685e-01
7.079950229133189055e+01,6.229695449996716095e-01
7.084706910840299088e+01,6.236043889559850228e-01
7.089446817059334194e+01,6.242112155510425309e-01
7.097284055510372980e+01,6.252736509779391882e-01
7.098943404985480754e+01,6.254889656163414857e-01
7.108439992911627314e+01,6.267783557447736964e-01
7.109606543861008277e+01,6.269429129998933536e-01
7.117936580837772453e+01,6.280663070623416777e-01
7.121806188264994830e+01,6.286121750218474080e-01
7.127433168763919014e+01,6.293703007630608859e-01
7.133920270857885271e+01,6.302814370438014624e-01
7.136929756690065574e+01,6.306850558555173736e-01
7.146009465604902289e+01,6.319506990657555168e-01
7.146426344616210713e+01,6.320062114586944002e-01
7.155922932542355852e+01,6.332977913382723534e-01
7.158219493407264622e+01,6.336199610877096822e-01
7.165419520468503833e+01,6.345851357309887364e-01
7.170507170745896985e+01,6.352892231096637365e-01
7.174916108394648973e+01,6.358730930070219944e-01
7.182867577415242977e+01,6.369584851316177909e-01
7.184412696320795533e+01,6.371606763785812033e-01
7.193909284246942093e+01,6.384280651903390114e-01
7.195378739408242552e+01,6.386277471535719563e-01
7.203405872173087232e+01,6.396745988188214938e-01
7.208049939983045817e+01,6.402970091755260107e-01
7.212902460099233792e+01,6.409226214274916789e-01
7.220785919678273501e+01,6.419662711974800651e-01
7.222399048025380353e+01,6.421722265218301473e-01
7.231895635951525492e+01,6.434027492394474024e-01
7.233664751063977860e+01,6.436355332194342305e-01
7.241392223877672052e+01,6.446176186766096050e-01
7.246666458161863034e+01,6.453047952413882848e-01
7.250888811803818612e+01,6.458376490369573952e-01
7.259681354310815493e+01,6.469740572633423392e-01
7.260385399729963751e+01,6.470624577808251621e-01
7.269881987656110311e+01,6.482609775711756228e-01
7.272856203011832577e+01,6.486433192852965046e-01
7.279378575582256872e+01,6.494593471984241306e-01
7.286054451466243620e+01,6.503125813072505590e-01
7.288875163508403432e+01,6.506645989569734834e-01
7.298371751434548571e+01,6.518670837066977697e-01
7.299275783719927801e+01,6.519818433292046134e-01
7.307868339360695131e+01,6.530492442812995124e-01
7.312629179637946208e+01,6.536511053511587788e-01
7.317364927286841692e+01,6.542391448922888486e-01
7.325938641372279392e+01,6.553203673731128331e-01
7.326861515212986831e+01,6.554351223597807419e-01
7.336358103139133391e+01,6.566123881743797241e-01
7.339378874699127664e+01,6.569896293950669985e-01
7.345854691065279951e+01,6.577895175204304667e-01
7.352819112244296207e+01,6.586588914170210529e-01
7.355351278991426511e+01,6.589728711405038464e-01
7.364847866917571650e+01,6.601514578209914941e-01
7.366281326360072512e+01,6.603281534389749963e-01
7.374344454843718211e+01,6.613191740791747320e-01
7.379831368573283612e+01,6.619974154609292727e-01
7.383841042769864771e+01,6.624938403469206039e-01
7.393276746554400347e+01,6.636666774828833271e-01
7.393337630696009910e+01,6.636742906186253732e-01
7.402834218622156470e+01,6.648394119517747614e-01
7.406875416707431725e+01,6.653359395048373814e-01
7.412330806548303030e+01,6.660130804411615868e-01
7.420319117684178423e+01,6.670052015267915468e-01
7.421827394474448170e+01,6.671951980815471472e-01
7.431323982400593309e+01,6.683754542062116943e-01
7.433752330636612271e+01,6.686744635487456012e-01
7.440820570326741290e+01,6.695606028799940823e-01
7.447073736316895065e+01,6.703437255706996556e-01
7.450317158252886429e+01,6.707585377605236321e-01
7.459813746179032989e+01,6.719688579548023233e-01
7.460167098591888646e+01,6.720129875926538210e-01
7.469310334105179550e+01,6.731821849110815048e-01
7.473224060193908258e+01,6.736822496146079864e-01
7.478806922031324689e+01,6.744136454143256909e-01
7.485971806704900189e+01,6.753515116365619297e-01
7.488303509957471249e+01,6.756645995912400338e-01
7.497800097883617809e+01,6.769338535745799135e-01
7.498459244499458975e+01,6.770207736585160951e-01
7.507296685809762948e+01,6.782155799798046392e-01
7.510801049982337929e+01,6.786900356804701495e-01
7.516793273735909509e+01,6.795204753844885648e-01
7.522835899328090647e+01,6.803592977024242039e-01
7.526289861662056069e+01,6.808489088599135597e-01
7.534595703037570047e+01,6.820285597243783693e-01
7.535786449588201208e+01,6.822007320622923698e-01
7.545283037514346347e+01,6.835698144857963454e-01
7.546172944797392290e+01,6.836978217463324237e-01
7.554779625440494328e+01,6.849524288502546465e-01
7.557608356020514861e+01,6.853670837682864780e-01
7.564276213366639467e+01,6.863538191338967032e-01
7.568860560399767223e+01,6.870363457902406434e-01
7.573772801292786028e+01,6.877719383559652844e-01
7.579966749852286512e+01,6.887056078121946978e-01
7.583269389218932588e+01,6.892046700985947627e-01
7.590957425362674371e+01,6.903748698341487522e-01
7.592765977145077727e+01,6.906500564179248736e-01
7.601854851611921049e+01,6.920441318561029176e-01
7.602262565071224287e+01,6.921065120867514464e-01
7.611759152997370848e+01,6.935651532321819301e-01
7.612715150119936425e+01,6.937133938780568609e-01
7.621255740923515987e+01,6.950306985415026784e-01
7.623509177125821168e+01,6.953826559000111374e-01
7.630752328849661126e+01,6.965072530112952354e-01
7.634213633875596372e+01,6.970519179219651917e-01
7.640248916775809107e+01,6.979960705726891979e-01
7.644818333875920757e+01,6.987211799439192461e-01
7.649745504701954246e+01,6.994990057727129562e-01
7.655307630743874370e+01,7.003904419658734115e-01
7.659242092628100806e+01,7.010184680135508328e-01
7.665662368544154504e+01,7.020597039878274659e-01
7.668738680554247367e+01,7.025573722852838099e-01
7.675861804455374227e+01,7.037289660097815203e-01
7.678235268480392506e+01,7.041190912427852666e-01
7.685885333456566570e+01,7.053982280317356857e-01
7.687731856406539066e+01,7.057074109573218124e-01
7.695713889289196175e+01,7.070674900536897400e-01
7.697228444332685626e+01,7.073264913184525993e-01
