y,cb,cr
107,99,146
111,101,146
112,110,140
122,129,126
122,141,119
121,146,115
118,148,114
102,135,121
84,110,138
84,108,141
70,117,136
94,110,138
82,116,137
68,119,133
39,127,128
52,130,125
79,126,122
84,117,131
67,121,132
67,118,137
75,132,124
51,134,125
41,131,128
85,133,123
110,130,128
171,130,129
165,130,130
139,130,129
150,130,130
149,128,131
177,128,130
186,130,129
172,131,128
149,131,128
135,130,129
141,130,130
144,130,129
144,126,133
137,125,136
141,126,134
155,127,133
166,128,132
175,128,132
161,146,115
177,148,114
175,148,114
174,148,114
173,148,113
172,148,113
171,149,113
170,149,112
168,149,112
167,150,112
166,150,112
165,150,112
164,150,112
164,151,111
164,150,112
166,150,112
168,150,112
170,150,112
173,149,113
176,148,113
177,148,113
176,148,113
174,149,113
172,149,113
170,150,112
168,150,112
166,150,112
164,151,111
162,151,111
161,151,111
159,152,111
157,152,110
156,153,111
154,153,110
152,153,110
150,153,110
149,154,109
149,153,109
150,153,109
153,153,109
159,152,110
162,152,111
162,151,111
167,150,111
177,148,114
184,146,115
188,145,116
200,142,119
204,140,119
203,140,119
199,141,119
193,143,118
182,146,115
178,147,114
175,147,114
172,148,114
169,148,113
167,149,112
165,150,112
149,149,113
153,150,112
155,151,111
152,148,114
155,139,121
142,122,133
123,112,142
132,99,146
103,110,143
112,105,141
141,105,137
138,113,133
125,117,134
125,135,124
128,142,119
130,150,113
135,157,108
130,156,109
113,139,121
73,131,130
75,125,132
89,105,140
86,97,147
71,112,141
84,112,139
81,115,138
53,123,134
25,130,131
51,130,129
71,130,119
79,129,120
77,116,136
65,113,139
30,127,131
32,130,130
40,129,130
34,128,131
104,132,126
145,133,122
145,132,124
140,130,128
149,127,131
166,124,135
179,130,129
170,130,130
153,129,131
141,128,132
142,129,130
143,129,130
143,130,129
166,129,129
179,129,130
180,128,131
180,130,129
177,132,126
164,133,124
162,145,116
179,148,114
177,147,114
175,148,114
174,148,114
173,148,113
172,149,113
170,148,113
169,149,113
168,149,112
166,150,112
165,150,112
164,150,112
164,151,111
164,151,111
164,150,112
166,150,112
168,150,112
171,149,113
176,148,113
177,148,113
177,148,114
176,148,113
174,149,113
172,149,112
170,149,112
167,150,112
165,150,112
164,151,112
162,151,111
159,151,111
157,152,111
156,152,111
154,153,110
152,153,110
150,153,109
148,153,109
147,154,109
148,153,109
150,153,109
154,152,110
158,152,110
159,152,110
163,150,111
173,149,112
178,147,114
187,145,116
200,141,118
202,140,119
201,141,119
202,141,119
198,142,118
187,145,116
179,146,114
176,147,114
173,148,114
171,148,113
160,147,114
156,148,114
142,144,118
146,147,116
149,149,114
147,145,117
155,142,118
155,140,119
147,137,123
132,125,132
104,116,140
104,131,133
142,140,122
148,150,112
149,154,109
145,157,107
137,154,111
115,133,126
108,126,130
103,122,133
99,113,138
88,112,141
80,116,138
72,111,140
92,100,145
86,109,141
84,110,141
82,113,139
48,124,132
30,130,130
51,130,131
64,130,121
87,126,125
83,113,138
65,115,139
31,128,131
35,130,130
40,129,131
36,129,131
47,133,125
74,132,119
87,131,121
94,128,123
130,121,132
161,128,128
154,131,126
148,133,124
148,132,124
169,130,130
158,129,130
165,129,132
158,129,131
163,130,128
162,132,127
142,133,123
104,133,123
76,131,125
49,128,128
163,145,116
180,147,114
178,147,114
177,147,114
175,148,113
174,148,114
173,148,113
171,148,113
170,149,113
169,149,113
167,150,112
166,150,112
164,150,112
164,151,111
164,151,112
164,151,112
164,150,112
166,150,112
168,150,112
172,149,113
176,148,113
178,148,114
178,148,113
176,148,113
174,149,113
171,149,113
169,149,112
167,150,112
165,150,112
162,151,111
160,151,111
158,152,111
156,152,111
154,152,110
152,153,110
150,153,110
148,153,109
147,153,109
148,154,110
150,153,109
153,153,110
154,153,110
156,152,110
160,151,110
