red,green,blue
95,132,32
115,151,49
118,147,60
118,140,63
113,134,57
120,138,70
135,145,81
139,146,75
129,152,56
115,162,35
163,187,92
191,198,133
181,187,115
135,157,70
107,142,59
88,131,46
81,123,40
91,134,37
96,147,34
75,127,28
55,99,24
64,107,39
70,120,40
56,105,18
42,81,10
42,78,12
45,83,12
46,83,20
50,87,28
57,95,40
60,96,49
58,92,48
56,91,41
56,94,34
53,89,32
49,79,34
48,75,36
57,90,39
65,105,35
70,113,37
68,110,34
66,106,33
67,107,32
63,107,22
60,103,17
59,97,26
53,85,22
50,69,25
70,75,52
98,99,70
106,113,68
140,135,105
159,145,136
157,144,136
155,142,134
158,146,139
162,150,141
160,147,138
103,132,42
101,133,32
85,117,14
78,112,2
93,122,11
123,143,55
145,154,84
147,157,74
138,161,68
119,161,61
137,170,83
173,184,118
167,175,104
143,155,72
106,133,54
87,121,45
83,116,44
91,129,44
89,136,45
69,116,36
60,103,31
68,115,38
65,117,28
47,93,10
38,74,12
44,81,14
50,92,13
51,92,23
53,91,32
56,93,39
64,99,50
65,97,52
58,89,45
49,81,32
46,76,25
42,67,25
47,71,39
59,92,42
65,108,33
66,110,29
62,103,29
63,103,28
68,109,32
67,110,25
63,105,23
57,93,28
49,82,19
47,76,16
51,67,26
77,79,56
119,104,96
117,100,99
120,104,104
125,110,109
129,115,113
131,117,115
133,119,116
129,114,111
94,125,25
80,114,5
72,106,0
83,116,1
115,140,29
146,158,74
154,163,89
148,162,74
133,161,64
118,156,66
109,148,69
119,147,70
163,167,92
188,186,117
144,160,72
95,129,37
86,121,37
90,131,43
80,128,41
64,113,32
65,115,29
72,125,33
61,112,21
46,88,13
44,80,17
49,90,14
54,99,10
54,97,19
52,90,29
55,92,34
65,101,44
66,98,51
57,87,46
50,80,34
51,80,32
46,71,30
48,74,38
59,94,41
61,106,25
55,99,15
51,93,15
56,99,17
63,107,22
64,109,18
58,101,17
53,90,20
49,81,18
46,78,15
50,76,20
74,67,49
81,60,57
82,63,58
94,76,74
100,83,80
