,id,struct_filepath,formula,anon_formula,anions,heteroanion,sg_sym,sg_num,n_elems,mm_dist,tm1,tm2,idx1,idx2,oxi1,oxi2,ref_dist,delta,normed_dist,d_state1,d_state2,n1,n2,ionic_r_1,ionic_r_2,mn1,mn2,max_con,ce1,ce2,cn1,cn2,csm1,csm2,gii,gii_1991,pred_d1
11426,65032,La4PdO7_65032.cif,La4PdO7,AB4C7,O,False,C2/m,12.0,3,4.0262,Pd,Pd,8,8,2.0,2.0,2.79543074,1.2307692600000002,1.4402789317541809,10,10,4,4,1.0,1.0,69,69,0.0,S:4,S:4,4.0,4.0,0.013347351210680328,0.013347351210680328,0.14262635866330958,0.17861414460712782,8
11427,65036,K2PdCl4_65036.cif,K2PdCl4,AB2C4,Cl,False,P4/mmm,123.0,3,4.1258,Pd,Pd,2,2,2.0,2.0,2.79543074,1.33036926,1.4759085034601858,10,10,4,4,1.0,1.0,69,69,0.8402221487859265,S:4,S:4,4.0,4.0,3.499519325438665e-30,3.499519325438665e-30,0.08023420431321382,,8
11428,65039,K2PdCl6_65039.cif,K2PdCl6,AB2C6,Cl,False,Fm-3m,225.0,3,6.86579471328702,Pd,Pd,9,8,4.0,4.0,2.79543074,4.0703639732870185,2.456077560800888,10,10,4,4,0.755,0.755,69,69,0.0,O:6,O:6,6.0,6.0,1.7366392787416543e-29,1.7366392787416543e-29,,,6
11429,65052,Pd7Se2_65052.cif,Pd7Se2,A2B7,Se,False,P2_1/c,14.0,2,2.743535380109526,Pd,Pd,11,0,0.0,0.0,2.79543074,-0.051895359890473884,0.9814356481282474,10,10,4,4,,,69,69,1.3386860492070785,AC:12,AC:12,12.0,12.0,3.298789537923997,3.298789537923997,0.0,0.0,10
11430,65053,Pd34Se11_65053.cif,Pd34Se11,A11B34,Se,False,P2_1/c,14.0,2,2.778406102495231,Pd,Pd,44,3,0.0,0.0,2.79543074,-0.017024637504769125,0.9939098339081835,10,10,4,4,,,69,69,1.24677597733403,DI:11,DI:11,11.0,11.0,3.6720589834070347,3.6720589834070347,0.0,0.0,10
11431,650577,RuS2_650577.cif,RuS2,AB2,S,False,Pa-3,205.0,2,3.964040615331785,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.2983685286845308,1.4870698594880634,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.2653224574423313,0.2653224574423313,,,5
11432,650579,RuS2_650579.cif,RuS2,AB2,S,False,Pa-3,205.0,2,3.964747722112972,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.2990756354657176,1.487335123465853,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.2653224574423315,0.2653224574423315,,,5
11433,650581,RuS2_650581.cif,RuS2,AB2,S,False,Pa-3,205.0,2,3.966869042456532,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.3011969558092775,1.4881309153992217,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.2653224574423305,0.2653224574423305,,,5
11434,650583,SbRuS_650583.cif,SbRuS,ABC,"S,Sb",True,P2_1/c,14.0,3,3.0983738130860554,Ru,Ru,6,4,3.0,3.0,2.665672086647254,0.4327017264388013,1.162323688876163,7,7,4,4,0.82,0.82,62,62,0.4715401587443315,O:6,O:6,6.0,6.0,0.3451655043575903,0.3451655043575903,,,4
11435,650585,URuS3_650585.cif,URuS3,ABC3,S,False,Pnma,62.0,3,4.385,Ru,Ru,6,4,3.0,3.0,2.665672086647254,1.7193279133527457,1.6449885272705198,7,7,4,4,0.82,0.82,62,62,0.0,O:6,O:6,6.0,6.0,0.3184353179892541,0.3184353179892541,0.8231016839632629,,4
11436,650594,SbRuSe_650594.cif,SbRuSe,ABC,"Se,Sb",True,P2_1/c,14.0,3,3.125492142625335,Ru,Ru,6,4,0.0,0.0,2.665672086647254,0.459820055978081,1.1724968567144427,7,7,4,4,,,62,62,0.5524185691908166,O:6,O:6,6.0,6.0,0.3592289588716442,0.3592289588716442,0.0,0.0,7
11437,650607,RuSe2_650607.cif,RuSe2,AB2,Se,False,Pa-3,205.0,2,4.1937088978611765,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.5280368112139215,1.5732275994741003,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.3487555930986263,0.3487555930986263,,,5
11438,650609,RuSe2_650609.cif,RuSe2,AB2,Se,False,Pa-3,205.0,2,4.195830218204735,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.530158131557481,1.5740233914074688,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.34875559309862564,0.34875559309862564,,,5
11439,650610,RuSe2_650610.cif,RuSe2,AB2,Se,False,Pa-3,205.0,2,4.186779251405548,Ru,Ru,1,0,2.0,2.0,2.665672086647254,1.5211071647582934,1.5706280124917633,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.3621505028025043,0.3621505028025043,,,5
11440,650833,Zr5Sb3S_650833.cif,Zr5Sb3S,AB3C5,"S,Sb",True,P6_3/mcm,193.0,3,2.94995,Zr,Zr,8,7,2.2,2.2,3.19147383240157,-0.2415238324015703,0.9243221642773662,2,2,4,4,,,49,49,1.159941578724478,BO_1:8,BO_1:8,8.0,8.0,1.7360217325704987,1.7360217325704987,,,0
11441,650834,Sc2S3_650834.cif,Sc2S3,A2B3,S,False,Fddd,70.0,2,1.8522,Sc,Sc,1,0,3.0,3.0,3.2137493574313014,-1.3615493574313016,0.5763361712440555,1,1,3,3,0.885,0.885,19,19,2.1544507315809334,O:6,O:6,6.0,6.0,1.7175239507887827,1.7175239507887827,1.582918968218892,,-2
