x,Curve1
97.24,62365.6
144.31,60171.4
159.81,51003.7
179.22,49308.6
193.94,46671.5
213.96,39890
224.14,35117.8
229.21,32857.3
277.46,30911.5
378.44,29657.3
503.33,29282.6
801.07,28910.8
1093.73,30862.4
1396.21,30993
1693.86,31374.8
1996.32,31631
2298.89,31070.9
2601.35,31327.2
2898.86,32902
3196.74,31337.2
3499.49,29207.2
