,x,y,z,Time,Temperature
1,0.0,0.0,0.0,0.1,61268.5
2,0.0,0.0,0.0,0.2,43280.75
3,0.0,0.0,0.0,0.4,29469.949999999997
4,0.0,0.0,0.0,0.6000000000000001,29158.666666666664
5,0.0,0.0,0.0,0.8,29034.733333333334
6,0.0,0.0,0.0,1.0,29886.6
7,0.0,0.0,0.0,1.2,30927.7
8,0.0,0.0,0.0,1.4000000000000001,31120.266666666666
9,0.0,0.0,0.0,1.6,31247.533333333333
10,0.0,0.0,0.0,1.8,31502.9
11,0.0,0.0,0.0,2.0,31444.3
12,0.0,0.0,0.0,2.2,31257.600000000002
13,0.0,0.0,0.0,2.4000000000000004,31156.333333333336
14,0.0,0.0,0.0,2.6000000000000005,31241.766666666666
15,0.0,0.0,0.0,2.8000000000000003,32114.6
16,0.0,0.0,0.0,3.0000000000000004,32119.6
17,0.0,0.0,0.0,3.2,30627.2
18,0.0,0.0,0.0,3.4000000000000004,29917.2
19,0.0,0.0,0.0,3.6000000000000005,29207.2
20,0.0,0.0,0.0,3.8000000000000003,29207.2
21,0.0,0.0,0.0,4.0,29207.2
1,0.0,100.0,0.0,0.1,57692.9
2,0.0,100.0,0.0,0.2,42350.0
3,0.0,100.0,0.0,0.4,30100.699999999997
4,0.0,100.0,0.0,0.6000000000000001,29637.903333333332
5,0.0,100.0,0.0,0.8,29071.356666666667
6,0.0,100.0,0.0,1.0,29470.026666666665
7,0.0,100.0,0.0,1.2,30240.493333333332
8,0.0,100.0,0.0,1.4000000000000001,30158.38333333333
9,0.0,100.0,0.0,1.6,30099.496666666666
10,0.0,100.0,0.0,1.8,29909.760000000002
11,0.0,100.0,0.0,2.0,29642.19
12,0.0,100.0,0.0,2.2,29603.38
13,0.0,100.0,0.0,2.4000000000000004,29446.52666666667
14,0.0,100.0,0.0,2.6000000000000005,29392.083333333332
15,0.0,100.0,0.0,2.8000000000000003,29829.649999999998
16,0.0,100.0,0.0,3.0000000000000004,29544.153333333332
17,0.0,100.0,0.0,3.2,28274.486666666668
18,0.0,100.0,0.0,3.4000000000000004,27450.32
19,0.0,100.0,0.0,3.6000000000000005,26601.62
20,0.0,100.0,0.0,3.8000000000000003,26398.833333333336
21,0.0,100.0,0.0,4.0,26296.326666666668
23,-20.85159772655855,95.91836734693877,19.101771586622224,0.1,57692.9
24,-20.85159772655855,95.91836734693877,19.101771586622224,0.2,42350.0
25,-20.85159772655855,95.91836734693877,19.101771586622224,0.4,30100.699999999997
26,-20.85159772655855,95.91836734693877,19.101771586622224,0.6000000000000001,29637.903333333332
27,-20.85159772655855,95.91836734693877,19.101771586622224,0.8,29071.356666666667
28,-20.85159772655855,95.91836734693877,19.101771586622224,1.0,29470.026666666665
29,-20.85159772655855,95.91836734693877,19.101771586622224,1.2,30240.493333333332
30,-20.85159772655855,95.91836734693877,19.101771586622224,1.4000000000000001,30158.38333333333
31,-20.85159772655855,95.91836734693877,19.101771586622224,1.6,30099.496666666666
32,-20.85159772655855,95.91836734693877,19.101771586622224,1.8,29909.760000000002
33,-20.85159772655855,95.91836734693877,19.101771586622224,2.0,29642.19
34,-20.85159772655855,95.91836734693877,19.101771586622224,2.2,29603.38
35,-20.85159772655855,95.91836734693877,19.101771586622224,2.4000000000000004,29446.52666666667
36,-20.85159772655855,95.91836734693877,19.101771586622224,2.6000000000000005,29392.083333333332
37,-20.85159772655855,95.91836734693877,19.101771586622224,2.8000000000000003,29829.649999999998
38,-20.85159772655855,95.91836734693877,19.101771586622224,3.0000000000000004,29544.153333333332
39,-20.85159772655855,95.91836734693877,19.101771586622224,3.2,28274.486666666668
40,-20.85159772655855,95.91836734693877,19.101771586622224,3.4000000000000004,27450.32
41,-20.85159772655855,95.91836734693877,19.101771586622224,3.6000000000000005,26601.62
42,-20.85159772655855,95.91836734693877,19.101771586622224,3.8000000000000003,26398.833333333336
43,-20.85159772655855,95.91836734693877,19.101771586622224,4.0,26296.326666666668
45,3.459689181472908,91.83673469387756,-39.421373790545985,0.1,57692.9
46,3.459689181472908,91.83673469387756,-39.421373790545985,0.2,42350.0
47,3.459689181472908,91.83673469387756,-39.421373790545985,0.4,30100.699999999997
48,3.459689181472908,91.83673469387756,-39.421373790545985,0.6000000000000001,29637.903333333332
49,3.459689181472908,91.83673469387756,-39.421373790545985,0.8,29071.356666666667
50,3.459689181472908,91.83673469387756,-39.421373790545985,1.0,29470.026666666665
51,3.459689181472908,91.83673469387756,-39.421373790545985,1.2,30240.493333333332
52,3.459689181472908,91.83673469387756,-39.421373790545985,1.4000000000000001,30158.38333333333
53,3.459689181472908,91.83673469387756,-39.421373790545985,1.6,30099.496666666666
54,3.459689181472908,91.83673469387756,-39.421373790545985,1.8,29909.760000000002
55,3.459689181472908,91.83673469387756,-39.421373790545985,2.0,29642.19
56,3.459689181472908,91.83673469387756,-39.421373790545985,2.2,29603.38
57,3.459689181472908,91.83673469387756,-39.421373790545985,2.4000000000000004,29446.52666666667
58,3.459689181472908,91.83673469387756,-39.421373790545985,2.6000000000000005,29392.083333333332
59,3.459689181472908,91.83673469387756,-39.421373790545985,2.8000000000000003,29829.649999999998
60,3.459689181472908,91.83673469387756,-39.421373790545985,3.0000000000000004,29544.153333333332
61,3.459689181472908,91.83673469387756,-39.421373790545985,3.2,28274.486666666668
62,3.459689181472908,91.83673469387756,-39.421373790545985,3.4000000000000004,27450.32
63,3.459689181472908,91.83673469387756,-39.421373790545985,3.6000000000000005,26601.62
64,3.459689181472908,91.83673469387756,-39.421373790545985,3.8000000000000003,26398.833333333336
