,Time,Temperature,Dist
1,0.1,61268.5,0.0
2,0.2,43280.75,0.0
3,0.4,29469.949999999997,0.0
4,0.6000000000000001,29158.666666666664,0.0
5,0.8,29034.733333333334,0.0
6,1.0,29886.6,0.0
7,1.2,30927.7,0.0
8,1.4000000000000001,31120.266666666666,0.0
9,1.6,31247.533333333333,0.0
10,1.8,31502.9,0.0
11,2.0,31444.3,0.0
12,2.2,31257.600000000002,0.0
13,2.4000000000000004,31156.333333333336,0.0
14,2.6000000000000005,31241.766666666666,0.0
15,2.8000000000000003,32114.6,0.0
16,3.0000000000000004,32119.6,0.0
17,3.2,30627.2,0.0
18,3.4000000000000004,29917.2,0.0
19,3.6000000000000005,29207.2,0.0
20,3.8000000000000003,29207.2,0.0
21,4.0,29207.2,0.0
1,0.1,43390.5,500.0
2,0.2,38627.0,500.0
3,0.4,32623.7,500.0
4,0.6000000000000001,31554.850000000002,500.0
5,0.8,29217.85,500.0
6,1.0,27803.733333333334,500.0
7,1.2,27491.666666666664,500.0
8,1.4000000000000001,26310.85,500.0
9,1.6,25507.35,500.0
10,1.8,23537.199999999997,500.0
11,2.0,22433.75,500.0
12,2.2,22986.5,500.0
13,2.4000000000000004,22607.3,500.0
14,2.6000000000000005,21993.35,500.0
15,2.8000000000000003,20689.85,500.0
16,3.0000000000000004,19242.366666666665,500.0
17,3.2,18863.633333333335,500.0
18,3.4000000000000004,17582.800000000003,500.0
19,3.6000000000000005,16179.3,500.0
20,3.8000000000000003,15165.366666666667,500.0
21,4.0,14652.833333333332,500.0
1,0.1,25360.5,1500.0
2,0.2,23821.75,1500.0
3,0.4,23563.35,1500.0
4,0.6000000000000001,23398.85,1500.0
5,0.8,23140.166666666668,1500.0
6,1.0,22880.933333333334,1500.0
7,1.2,21552.933333333334,1500.0
8,1.4000000000000001,21238.666666666668,1500.0
9,1.6,20747.800000000003,1500.0
10,1.8,20367.133333333335,1500.0
11,2.0,20163.066666666666,1500.0
12,2.2,18583.2,1500.0
13,2.4000000000000004,18174.5,1500.0
14,2.6000000000000005,17317.75,1500.0
15,2.8000000000000003,16197.55,1500.0
16,3.0000000000000004,15454.9,1500.0
17,3.2,15384.4,1500.0
18,3.4000000000000004,14630.0,1500.0
19,3.6000000000000005,13002.25,1500.0
20,3.8000000000000003,12302.866666666667,1500.0
21,4.0,12547.333333333332,1500.0
