x,Temp
97.65,44586.6
146.73,42194.4
168.17,40527.5
173.53,39527.4
189.62,38993.8
211.06,38260.2
307.56,35992.2
398.7,32457.6
479.12,32789.8
704.29,30319.9
999.15,28115.8
1202.88,27179.6
1497.74,25442.1
1701.47,25572.6
1996.33,21501.8
2194.7,23365.7
2494.92,22228.1
2698.65,21758.6
2993.51,19621.1
3202.6,18484.9
3502.82,16680.7
3701.19,15677.9
4006.77,14140.3
