x,Curve1
96.58,26498.1
141.81,24222.9
168.64,23916.1
200.85,23727.4
292.09,23609.8
399.44,23728.4
501.41,23398.3
705.37,23399.4
1000.56,22621.7
1199.15,21867.2
1494.35,20924.4
1698.31,20571.2
2009.6,19959
2197.46,18991.9
2498.02,17765.8
2712.71,16869.7
2997.18,15525.4
3201.13,15313.9
3501.69,13946.1
3700.28,12058.4
4006.21,12791.8
