name,x,alt
UPTON,0.337,-0.402
WALBERG,0.528,0.083
BISHOP,0.436,0.156
LEVIN,-0.379,-0.075
MILLER,0.343,-0.001
TROTT,0.372,0.338
DINGELL D,-0.468,0.039
CONYERS,-0.66,-0.465
LAWRENCE,-0.457,-0.032
WALZ,-0.28,0.177
KLINE,0.49,0.154
PAULSEN,0.404,-0.139
MCCOLLUM,-0.425,-0.154
ELLISON,-0.541,-0.532
EMMER,0.421,-0.063
PETERSON,-0.144,0.755
NOLAN,-0.377,-0.442
KELLY,0.539,0.334
THOMPSON,-0.519,0.434
HARPER,0.38,0.553
PALAZZO,0.5,0.66
CLAY,-0.491,-0.045
WAGNER,0.447,0.337
LUETKEMEYER,0.445,0.327
HARTZLER,0.504,0.525
CLEAVER,-0.458,0.042
GRAVES,0.429,0.203
LONG,0.578,0.461
SMITH,0.614,0.38
ZINKE,0.409,-0.073
FORTENBE,0.295,-0.03
ASHFORD,-0.185,0.441
SMITH,0.506,0.299
TITUS,-0.296,-0.158
AMODEI,0.386,0.193
HECK,0.324,0.014
HARDY,0.353,0.209
GUINTA,0.427,-0.073
KUSTER,-0.259,-0.147
NORCROSS,-0.38,0.239
LOBIONDO,0.2,-0.173
MACARTHUR,0.209,0.253
SMITH,0.156,-0.175
GARRETT,0.688,-0.243
PALLONE,-0.397,-0.175
LANCE,0.338,-0.196
SIRES,-0.406,0.106
PASCRELL,-0.368,0.022
PAYNE,-0.504,-0.141
FRELINGH,0.28,-0.249
WATSON-COL,-0.525,-0.427
LUJAN GRIS,-0.339,0.132
PEARCE,0.469,0.12
LUJAN,-0.38,0.074
ZELDIN,0.331,-0.071
KING,0.26,-0.017
ISRAEL,-0.334,-0.051
RICE,-0.272,-0.095
MEEKS,-0.423,-0.05
MENG,-0.386,-0.109
VELAZQUE,-0.546,-0.343
JEFFRIES,-0.491,-0.066
CLARKE,-0.605,-0.223
NADLER,-0.509,-0.533
DONOVAN,0.218,0.147
MALONEY,-0.387,-0.278
RANGEL,-0.514,-0.341
CROWLEY,-0.407,-0.064
SERRANO,-0.489,-0.395
ENGEL,-0.411,-0.058
LOWEY,-0.39,-0.15
MALONEY,-0.225,0.099
GIBSON,0.203,-0.455
TONKO,-0.423,-0.255
STEFANIK,0.205,0.077
HANNA,0.215,-0.145
REED,0.3,0.115
KATKO,0.196,-0.02
SLAUGHTE,-0.465,-0.105
HIGGINS,-0.347,-0.019
COLLINS,0.363,0.266
BUTTERFI,-0.421,0.267
ELLMERS,0.406,0.338
JONES,0.243,-0.226
PRICE,-0.339,-0.016
FOXX,0.65,0.224
WALKER,0.621,0.029
ROUZER,0.611,0.144
HUDSON,0.683,0.335
PITTENGER,0.558,0.432
MCHENRY,0.583,0.184
MEADOWS,0.622,-0.135
ADAMS,-0.47,0.005
HOLDING,0.671,0.245
CRAMER,0.375,0.352
CHABOT,0.581,-0.225
WENSTRUP,0.58,0.249
BEATTY,-0.449,0.104
JORDAN,0.701,-0.144
LATTA,0.515,0.365
JOHNSON,0.435,0.343
GIBBS,0.446,0.391
DAVIDSON,0.737,-0.19
KAPTUR,-0.351,0.123
TURNER,0.266,0.185
FUDGE,-0.587,0.114
TIBERI,0.386,0.001
RYAN,-0.409,0.246
JOYCE,0.26,0.249
STIVERS,0.302,0.267
RENACCI,0.372,0.228
BRIDENSTIN,0.695,-0.147
MULLIN,0.49,0.64
LUCAS,0.36,0.459
COLE,0.337,0.408
RUSSELL,0.452,0.003
BONAMICI,-0.397,-0.355
WALDEN,0.337,-0.008
