newGT4.3-1to1-0.5-Run5-planet04,earth,0.22673,0.42776,4.80207,39.2388,3.85647,0.24391,4.42472,46.8794
newGT4.3-1to1-0.5-Run5-planet04,earth,0.25305,0.43127,4.80393,39.2540,3.85797,0.24457,4.38842,46.8917
newGT4.3-1to1-0.5-Run5-planet04,earth,0.25337,0.43478,4.80581,39.2694,3.85948,0.24510,4.35270,46.9042
newGT4.3-1to1-0.5-Run5-planet04,earth,0.26432,0.43828,4.78950,39.1361,3.84638,0.24596,4.59893,46.8159
newGT4.3-1to1-0.5-Run5-planet04,earth,0.28042,0.44179,4.79151,39.1525,3.84799,0.24634,4.56198,46.8294
newGT4.3-1to1-0.5-Run5-planet04,earth,0.28533,0.44529,4.78343,39.0864,3.84150,0.24735,4.64695,46.8214
newGT4.3-1to1-0.5-Run5-planet04,earth,0.29825,0.53646,4.80000,39.2219,3.85481,0.23694,4.40942,46.9381
newGT4.3-1to1-0.5-Run5-planet04,earth,0.30579,0.53996,4.80183,39.2368,3.85628,0.23669,4.38022,46.9508
newGT4.3-1to1-0.5-Run5-planet04,earth,0.31457,0.54347,4.78427,39.0933,3.84217,0.23736,4.66595,46.8343
newGT4.3-1to1-0.5-Run5-planet04,earth,0.34323,0.54697,4.77759,39.0388,3.83681,0.23825,4.73747,46.8260
newGT4.3-1to1-0.5-Run5-planet04,earth,0.35917,0.55048,4.77930,39.0527,3.83818,0.23856,4.70654,46.8372
newGT4.3-1to1-0.5-Run5-planet04,earth,0.36451,0.55399,4.78091,39.0659,3.83948,0.23906,4.67601,46.8475
newGT4.3-1to1-0.5-Run5-planet04,earth,0.37399,0.55749,4.78245,39.0785,3.84072,0.23968,4.64587,46.8572
newGT4.3-1to1-0.5-Run5-planet04,earth,0.37624,0.56100,4.78437,39.0942,3.84226,0.23917,4.61611,46.8706
newGT4.3-1to1-0.5-Run5-planet04,earth,0.38034,0.56451,4.78615,39.1087,3.84369,0.23907,4.58672,46.8827
