time after microwave pulse,dqc_echo,sqc_echo
854,3.96E-04,-5.50E-04
858,9.46E-04,4.59E-05
862,-9.65E-05,6.84E-04
866,2.99E-04,-2.21E-04
870,-0.00103,0.00174
874,-6.28E-04,0.00108
878,0.00169,0.00311
882,0.00112,0.00128
886,-0.00158,0.00105
890,3.48E-04,-8.88E-04
894,-0.00123,-4.17E-05
898,-2.08E-04,4.17E-04
902,5.70E-04,8.55E-04
906,3.52E-04,2.38E-04
910,-8.01E-04,0.00245
914,-0.00349,0.00143
918,-0.00128,2.50E-05
922,6.57E-04,-0.00123
926,0.00222,0.00214
930,2.70E-04,1.50E-04
934,0.00197,0.00136
938,3.09E-04,-0.00261
942,0.0018,0.00107
946,-0.00242,-4.42E-04
950,8.40E-04,0.00103
954,-1.16E-04,0.00118
958,-6.03E-04,-7.17E-04
962,-0.00147,-4.54E-04
966,6.71E-04,9.50E-04
