y,cb,cr
31,123,128
27,124,128
31,123,129
40,118,129
41,117,126
34,120,125
37,118,129
38,118,130
222,136,114
212,141,114
209,143,114
208,142,114
208,142,115
212,140,115
215,139,115
217,138,115
223,135,115
227,132,116
228,132,116
228,132,117
229,132,117
229,132,117
228,132,117
224,135,116
215,139,115
212,140,116
211,139,115
211,139,115
210,140,116
207,140,116
207,139,116
207,140,116
208,139,116
210,139,116
209,139,116
208,139,116
207,139,117
206,139,116
205,139,116
205,138,117
207,138,117
209,136,117
212,135,117
214,135,117
215,135,117
216,134,117
219,133,117
219,133,117
218,133,117
219,132,117
220,131,118
220,130,119
220,130,119
219,129,119
219,129,119
218,130,119
211,133,118
206,135,118
205,135,118
207,134,119
209,132,119
213,129,120
213,129,120
211,129,120
214,128,121
214,128,121
213,128,121
212,127,121
210,129,121
205,131,120
203,133,120
203,132,120
202,131,120
202,132,120
201,132,120
200,132,121
200,131,121
199,131,122
199,130,122
199,130,122
198,129,123
198,129,123
174,127,127
160,124,131
159,124,131
158,125,131
158,125,132
157,125,132
156,124,132
154,124,132
154,124,132
153,124,132
152,124,132
151,124,132
150,124,132
148,125,132
148,125,132
144,123,133
135,122,134
130,122,133
126,122,132
117,122,132
102,124,133
104,122,133
103,122,131
100,123,131
97,122,131
92,119,131
82,120,131
76,124,130
78,120,130
77,117,130
70,119,129
65,121,130
64,122,130
63,122,129
61,123,129
66,123,130
74,120,128
82,121,130
78,118,132
62,111,130
58,113,130
53,110,130
43,115,130
50,112,131
48,113,130
40,117,128
34,121,126
36,120,127
29,123,127
27,125,128
28,125,128
31,124,126
29,123,126
33,121,128
27,124,127
30,123,129
44,117,129
43,116,128
38,118,126
35,120,127
41,116,128
221,136,114
213,141,114
209,142,114
208,142,114
208,142,115
211,141,115
214,139,115
218,138,115
222,136,115
227,133,116
228,132,116
228,132,116
229,132,117
228,132,117
228,132,116
223,135,116
214,139,115
210,140,115
210,139,115
210,139,115
209,140,115
207,140,115
207,140,116
207,140,116
208,139,116
209,139,116
209,138,116
209,138,116
207,139,116
206,139,116
205,139,116
205,139,116
206,138,116
209,137,117
213,135,117
216,134,117
218,134,117
219,133,117
219,133,117
218,134,117
219,133,117
219,133,118
220,131,118
221,130,118
220,130,119
220,130,119
219,129,119
218,130,119
210,133,118
206,135,118
206,136,118
207,134,118
209,133,119
213,130,120
212,130,120
211,129,121
214,128,121
213,128,121
212,127,121
212,127,121
211,129,121
209,129,121
205,131,121
