EmissionWavelength,Intensity
380,111.31511
381,153.75548
382,125.65214
383,116.09018
384,125.57354
385,138.09015
386,163.90145
387,135.66023
388,157.84951
389,113.68362
390,148.35747
391,113.16672
392,115.67857
393,134.56901
394,145.63257
395,124.85163
396,121.05671
397,134.96256
398,136.97578
399,148.80333
400,136.81934
401,163.98687
402,163.77874
403,242.03112
404,279.72223
405,343.54627
406,368.78695
407,462.61009
408,508.59531
409,645.15465
410,776.25416
411,958.62761
412,1126.4996
413,1400.495
414,1704.618
415,2027.4981
416,2436.0164
417,2845.0758
418,3216.3933
419,3704.1743
420,4163.6342
421,4598.1154
422,4954.4556
423,5444.9132
424,5720.7734
425,6100.4019
426,6467.528
427,6822.923
428,7358.6482
429,8000.4858
430,8746.4931
431,9617.4423
432,10381.972
433,11453.43
434,12672.926
435,13659.728
436,15275.359
437,16669.751
438,17977.682
439,19246.656
440,20078.33
441,21330.003
442,22159.352
443,23017.746
444,23877.94
445,24055.196
446,24907.139
447,25513.873
448,26496.58
449,27369.778
450,28743.642
451,29542.011
452,31250.461
453,32961.087
454,34335.966
455,36035.322
456,37642.541
457,39374.587
458,41293.146
459,43409.42
460,45188.111
461,47710.794
462,49831.62
463,51452.134
464,53853.601
465,55533.351
466,57965.12
467,59855.653
468,61030.298
469,62453.982
470,63199.383
471,64157.424
472,64145.584
473,64800.04
474,65448.394
475,64935.367
476,65247.328
477,65325.556
478,65267.387
479,65387.603
480,65363.207
481,66829.875
482,66283.385
483,67120.469
484,67004.19
485,67050.593
486,66263.686
487,67567.605
488,67105.207
489,66928.817
490,67673.429
491,68074.334
492,69023.995
493,69482.887
494,69946.113
495,71320.36
496,71767.673
497,73474.04
498,74392.972
499,76440.302
500,78181.506
501,79862.529
502,82562.668
503,85215.1
504,86493.736
505,87545.92
506,89240.105
507,88815.624
508,89504.782
509,89209.934
510,88274.122
511,87073.848
512,85095.892
513,83821.642
514,81493.828
515,79541.471
516,77988.389
517,76363.089
518,74485.685
519,73190.082
520,70147.746
521,68752.661
522,67632.525
523,65474.489
524,64105.537
525,62735.841
526,61154.269
527,59764.264
528,58544.429
529,57299.457
530,56510.387
531,55246.404
532,54606.117
533,53385.865
534,51684.443
535,51239.636
536,50666.86
537,49455.438
538,48798.907
539,47940.307
540,47401.849
541,45984.905
542,45915.938
543,45563.109
544,44150.453
545,43543.915
546,42568.292
547,42143.544
548,41176.245
549,40215.39
550,39720.494
551,38861.042
552,37891.788
553,37583.036
554,36346.565
555,35875.768
556,34903.634
557,33774.417
558,33566.311
559,33028.694
560,32294.298
561,31599.25
562,30810.021
563,30268.643
564,29844.172
565,29040.575
566,28442.022
567,27950.397
568,27438.072
569,26737.753
570,26205.244
571,25891.032
572,25178.091
573,24880.262
574,24342.545
575,23702.952
576,23164.256
577,22813.005
578,22494.017
579,22014.279
580,21764.36
581,21426.811
582,21008.734
583,20253.411
584,20313.593
585,19735.326
586,19429.479
587,19037.09
588,18656.082
589,18741.071
590,18392.144
591,17823.382
592,17327.924
593,17218.023
594,17316.23
595,16696.057
596,16561.909
597,16116.448
598,16099.426
599,15863.031
600,15683.292
601,15346.589
602,14755.604
603,14659.911
604,14534.362
605,14420.875
606,14576.924
607,14427.918
608,14047.049
609,13819.42
610,13703.606
611,13801.847
612,13496.235
613,13400.641
614,13252.313
615,13034.409
616,13284.926
617,12958.63
618,13176.713
619,12791.194
620,12649.406
621,12508.152
622,12506.959
623,12366.167
624,12395.252
625,12168.569
626,12077.522
627,11723.362
628,11755.406
629,11843.036
630,11619.488
631,11543.592
632,11469.323
633,11355.173
634,11196.986
635,11229.568
636,11164.961
637,10827.389
638,10699.738
639,10754.163
640,10552.285
641,10454.019
642,10363.312
643,10268.313
644,10411.93
645,10444.706
646,10239.238
647,10286.924
648,10258.116
649,10025.145
650,10169.486
651,10120.68
652,10002.172
653,9644.9153
654,9687.9684
655,9532.0396
656,9557.2809
657,9476.0547
658,9430.2577
659,9304.5517
660,9215.2629
661,9241.507
662,9307.2675
663,9435.6213
664,9495.7048
665,9475.1668
666,9401.5278
667,9520.3013
668,9283.6959
669,9274.9653
670,9410.5098
671,9268.8328
672,9442.7944
673,9338.8315
674,9233.1647
675,9323.1778
676,9326.2722
677,9386.374
678,9247.8533
679,9423.4498
680,9490.1256
681,9450.2202
682,9715.7483
683,9796.2999
684,9791.2962
685,9774.5309
686,9858.5206
687,9904.0655
688,9597.9061
689,9498.7531
690,9391.8647
691,9357.5506
692,8855.7637
693,8877.8178
694,8548.1726
695,8400.6796
696,8100.94
697,7953.0566
698,7843.4521
699,7511.8807
700,7546.6168
