EmissionWavelength,Intensity
380,153.37686
381,143.40838
382,149.69749
383,127.65997
384,90.166636
385,139.41413
386,117.52028
387,106.4908
388,120.71699
389,125.864
390,176.31554
391,146.54826
392,138.74468
393,100.20498
394,152.7371
395,177.60024
396,144.94885
397,197.04005
398,204.10137
399,242.45515
400,175.01649
401,251.42285
402,283.84473
403,318.44113
404,412.43281
405,469.23451
406,615.08781
407,701.01759
408,804.47516
409,1000.6506
410,1186.9743
411,1449.5699
412,1690.8676
413,1977.1491
414,2392.4977
415,2835.388
416,3306.3562
417,3807.3173
418,4388.9027
419,4845.189
420,5323.4629
421,5914.7299
422,6266.1914
423,6722.0757
424,6999.6373
425,7369.4621
426,7660.0131
427,8026.7037
428,8663.6662
429,9178.1395
430,10081.089
431,11091.412
432,12108.541
433,13708.145
434,14875.843
435,16598.116
436,18285.722
437,20134.593
438,21737.3
439,22926.968
440,24199.581
441,25015.075
442,25103.677
443,25345.658
444,25215.433
445,24795.311
446,24848.155
447,24843.694
448,24760.073
449,24960.247
450,25416.068
451,26045.803
452,27145.586
453,28694.582
454,29462.011
455,30915.765
456,31803.168
457,33180.677
458,34825.393
459,36627.986
460,38115.461
461,39894.393
462,41380.543
463,43680.239
464,45014.334
465,47102.688
466,48255.598
467,50010.842
468,51199.118
469,51789.87
470,52139.617
471,52775.146
472,52223.263
473,51077.736
474,50609.016
475,50077.766
476,49295.991
477,48799.503
478,48489.061
479,48453.253
480,47860.051
481,47677.582
482,47965.56
483,47277.616
484,47837.269
485,47586.899
486,47550.985
487,47483.973
488,47294.883
489,47211.82
490,48425.123
491,48328.183
492,48360.385
493,49250.898
494,49483.359
495,49610.164
496,51383.648
497,51130.881
498,52554.282
499,53792.439
500,54115.629
501,56100.166
502,57850.981
503,58923.124
504,60348.325
505,61593.679
506,62082.041
507,62438.592
508,62941.931
509,62086.269
510,61158.95
511,60803.215
512,60102.847
513,58776.468
514,57350.298
515,56125.331
516,55018.052
517,54034.9
518,51940.925
519,50880.554
520,50253.731
521,48824.302
522,47772.65
523,46807.166
524,45925.469
525,45470.627
526,44277.697
527,43521.556
528,42698.604
529,42500.137
530,41686.934
531,40828.278
532,40231.466
533,39801.148
534,38740.097
535,38688.452
536,38060.484
537,37741.196
538,37523.083
539,36676.02
540,36410.604
541,35856.8
542,35636.476
543,34748.99
544,34212.217
545,33672.818
546,33443.621
547,32948.284
548,32254.711
549,31667.834
550,31437.944
551,30605.875
552,30434.162
553,29688.507
554,29348.182
555,29036.098
556,28284.013
557,27500.068
558,27289.952
559,26514.59
560,26067.202
561,25509.555
562,24992.977
563,24830.903
564,24275.211
565,23788.654
566,23808.279
567,23216.084
568,22731.572
569,22342.327
570,22047.344
571,21519.305
572,20997.855
573,20768.611
574,20319.185
575,20147.543
576,19756.099
577,19582.02
578,19199.097
579,18915.76
580,18870.055
581,18275.34
582,18125.042
583,17892.979
584,17695.287
585,17463.688
586,17199.373
587,17232.973
588,16744.218
589,16662.443
590,16656.958
591,16100.82
592,16053.643
593,15853.912
594,15609.652
595,15444.834
596,15039.947
597,15029.052
598,14863.427
599,14750.261
600,14604.718
601,14332.345
602,14213.151
603,14043.831
604,14196.694
605,14009.173
606,13733.762
607,13844.806
608,13897.957
609,13908.812
610,13549.459
611,13471.851
612,13327.347
613,13531.767
614,13327.485
615,13453.514
616,13226.261
617,13133.927
618,13306.94
619,13092.937
620,13302.288
621,13052.265
622,12872.704
623,12828.649
624,12758.958
625,13036.751
626,12875.702
627,12770.702
628,12588.35
629,12648.927
630,12661.366
631,12550.828
632,12428.44
633,12186.842
634,11912.794
635,11903.917
636,12080.524
637,11985.766
638,11886.447
639,11757.171
640,11735.493
641,11818.65
642,11524.793
643,11645.32
644,11707.598
645,11691.851
646,11619.343
647,11574.571
648,11635.131
649,11619.599
650,11540.006
651,11459.948
652,11333.318
653,11122.483
654,11048.727
655,10956.384
656,11183.131
657,10733.872
658,10777.345
659,10934.302
660,10674.335
661,10879.41
662,10738.313
663,10760.826
664,11039.949
665,10775.469
666,10735.884
667,11093.127
668,11118.021
669,11134.432
670,11166.098
671,11126.501
672,11005.903
673,11240.426
674,11379.867
675,11147.132
676,11003.356
677,11168.888
678,11416.937
679,11504.311
680,11406.008
