EmissionWavelength,Intensity
380,170.82692
381,147.64989
382,144.33817
383,128.20485
384,128.27695
385,87.907417
386,133.88066
387,185.55629
388,143.55941
389,128.77872
390,129.57022
391,151.65731
392,130.1786
393,174.90494
394,152.33628
395,190.96368
396,194.85359
397,203.27302
398,210.9145
399,218.95171
400,287.90114
401,235.955
402,284.04493
403,389.70209
404,340.00445
405,469.84127
406,554.31583
407,642.12905
408,814.66889
409,948.4874
410,1091.3304
411,1318.8738
412,1548.0594
413,1827.5573
414,2147.0964
415,2452.0636
416,2956.7014
417,3436.5461
418,3826.8143
419,4285.2516
420,4827.731
421,5243.4299
422,5660.6931
423,6022.9914
424,6270.5714
425,6542.9089
426,6989.4516
427,7366.2487
428,7888.3141
429,8377.9005
430,9141.3482
431,10131.767
432,11221.363
433,12551.878
434,13907.064
435,15332.314
436,17155.01
437,18546.379
438,20378.381
439,21628.03
440,22611.846
441,22809.215
442,23327.333
443,23163.134
444,22853.732
445,22159.575
446,22153.641
447,22062.441
448,21673.891
449,22039.933
450,22263.434
451,22720.083
452,23716.321
453,24543.846
454,25077.605
455,26214.781
456,27442.26
457,28836.12
458,30078.689
459,31456.299
460,32667.093
461,34677.98
462,35712.576
463,37678.129
464,39114.447
465,40847.587
466,42051.216
467,42959.233
468,44025.208
469,44764.857
470,45086.604
471,44364.781
472,44185.839
473,43729.528
474,42853.656
475,42797.068
476,41755.686
477,40847.216
478,40256.135
479,39766.33
480,39308.221
481,39600.481
482,39795.031
483,39610.712
484,39555.336
485,38967.291
486,39107.28
487,38748.271
488,38837.009
489,38558.445
490,39331.499
491,39276.641
492,39937.797
493,39986.193
494,40702.324
495,41043.763
496,41937.99
497,42268.722
498,42923.687
499,43675.064
500,44611.938
501,45767.479
502,47495.936
503,48308.035
504,49168.148
505,50436.434
506,50394.194
507,51559.443
508,50857.332
509,50447.571
510,50506.538
511,49613.496
512,49018.977
513,48105.494
514,46710.861
515,45664.25
516,44579.693
517,43443.558
518,42518.985
519,41956.785
520,40805.269
521,40107.667
522,38894.03
523,38911.776
524,38006.386
525,37031.318
526,37113.521
527,36050.99
528,35905.256
529,35318.447
530,34817.959
531,34003.513
532,34071.13
533,33534.201
534,33291.57
535,32639.78
536,32614.606
537,31887.858
538,31605.806
539,31386.421
540,30935.299
541,30824.325
542,30340.855
543,29852.104
544,29914.302
545,29300.497
546,29132.688
547,28476.736
548,28454.624
549,27813.271
550,27183.036
551,26660.189
552,26439.903
553,26183.305
554,25498.572
555,25396.273
556,24812.751
557,24151.165
558,23583.74
559,23467.561
560,23095.623
561,22786.284
562,22014.039
563,21858.346
564,21681.221
565,21212.671
566,20778.207
567,20291.205
568,19973.705
569,19748.712
570,19504.517
571,19308.754
572,18912.886
573,18591.623
574,18441.284
575,18039.897
576,18062.407
577,17450.71
578,17676.958
579,16955.042
580,17002.949
581,16802.87
582,16445.675
583,16311.015
584,16316.755
585,15891.072
586,15903.24
587,15648.247
588,15757.76
589,15375.692
590,15018.37
591,14976.977
592,14862.5
593,14705.852
594,14700.975
595,14487.662
596,14231.156
597,14116.015
598,14021.654
599,13998.07
600,13909.349
601,13653.956
602,13468.937
603,13468.035
604,13322.875
605,13522.836
606,13240.515
607,13234.634
608,13341.209
609,13237.185
610,12848.179
611,13046.461
612,13089.054
613,12949.331
614,13037.349
615,13082.114
616,13070.726
617,13001.255
618,12974.449
619,12980.887
620,13027.742
621,12882.676
622,12994.435
623,13095.14
624,12806.777
625,12928.929
626,12877.316
627,12650.869
628,12825.222
629,12591.584
630,12878.825
631,12533.898
632,12297.771
633,12460.302
634,12396.306
635,12249.433
636,12160.626
637,12092.438
638,12149.314
639,11895.464
640,11917.49
641,12052.768
642,11862.241
643,11968.734
644,11765.504
645,11893.404
646,12087.593
647,11900.572
648,11723.602
649,11907.121
650,11900.483
651,11667.797
652,11716.69
653,11674.526
654,11559.758
655,11558.553
656,11436.175
657,11719.858
658,11339.048
659,11316.587
660,11321.783
661,11428.063
662,11155.465
663,11346.18
664,11368.3
665,11467.939
666,11592.887
667,11596.254
668,11808.714
669,11597.381
670,11851.801
671,11735.271
672,11859.395
673,11904.221
674,12052.148
675,11744.806
676,11697.895
677,11389.299
678,11612.634
679,11542.45
680,11627.397
