EmissionWavelength,Intensity
380,258.99565
381,224.42539
382,268.81458
383,200.72492
384,240.54605
385,202.69668
386,250.14132
387,219.219
388,241.49214
389,231.52326
390,252.9504
391,230.17653
392,259.36961
393,244.29701
394,281.75302
395,274.25093
396,305.66467
397,328.42719
398,363.73456
399,373.18673
400,361.0067
401,447.86294
402,459.89029
403,491.77582
404,486.56103
405,555.57971
406,655.55428
407,735.90157
408,765.67455
409,944.91671
410,1083.2532
411,1258.7236
412,1480.6888
413,1666.641
414,1878.139
415,2245.1572
416,2686.5349
417,3060.3282
418,3494.2127
419,4070.5626
420,4470.2389
421,4898.7829
422,5460.3154
423,5930.0749
424,6462.1855
425,6942.3268
426,7584.2027
427,8126.3645
428,8775.3685
429,9744.9294
430,10588.262
431,11718.964
432,12885.187
433,14442.316
434,16103.932
435,17825.746
436,19642.42
437,21646.375
438,23463.473
439,25234.118
440,26784.273
441,28428.722
442,29283.909
443,30351.738
444,30935.122
445,31923.445
446,32853.736
447,33415.082
448,34763.688
449,36403.555
450,37448.552
451,39244.17
452,41088.715
453,43090.482
454,45533.706
455,47727.818
456,50828.11
457,52795.639
458,55547.32
459,58263.184
460,60894.781
461,64234.71
462,67159.378
463,69922.349
464,73040.693
465,76556.962
466,78324.725
467,80694.012
468,83988.056
469,85119.492
470,87239.535
471,89181.201
472,89997.677
473,90462.791
474,91342.502
475,90612.465
476,91179.613
477,91094.603
478,91419.647
479,92243.086
480,92831.449
481,93359.659
482,93605.972
483,94601.03
484,95440.655
485,94791.855
486,96053.755
487,95571.599
488,95726.583
489,96790.643
490,97295.691
491,98664.924
492,99809.657
493,99788.166
494,101475.73
495,103103.2
496,104480.28
497,106301.88
498,108939.76
499,111902.18
500,114185.38
501,117983.4
502,120845.74
503,124017.29
504,126019.65
505,128711.65
506,130540.64
507,131590.33
508,132570.33
509,131337.67
510,130929.78
511,128616.65
512,126641.12
513,123828.92
514,120608.18
515,119460.33
516,116127.62
517,112781.03
518,111026.19
519,108429.49
520,104799.34
521,102600.68
522,100781.04
523,98298.087
524,95189.59
525,94119.311
526,92445.934
527,90306.089
528,88170.613
529,87306.523
530,85328.939
531,83803.651
532,82190.229
533,80170.462
534,79323.777
535,78075.631
536,76067.728
537,75322.903
538,74437.136
539,73519.461
540,72125.088
541,70506.533
542,70222.413
543,68928.355
544,68640.688
545,66427.919
546,65575.966
547,64848.014
548,63062.998
549,62003.96
550,61215.209
551,59524.516
552,59086.628
553,57576.497
554,56594.237
555,54966.571
556,54337.867
557,53042.121
558,52025.85
559,51478.601
560,50419.652
561,48894.083
562,48492.534
563,47479.117
564,46589.76
565,45357.286
566,44721.894
567,44154.122
568,43503.55
569,42181.729
570,41389.746
571,40425.291
572,39983.907
573,38981.092
574,38778.112
575,38298.721
576,36933.184
577,36032.916
578,35612.297
579,35184.183
580,34213.628
581,33644.901
582,33482.496
583,32981.6
584,32357.424
585,32061.112
586,31377.536
587,30925.571
588,30059.004
589,29575.29
590,29112.694
591,28881.738
592,28543.161
593,27974.761
594,27693.973
595,27653.404
596,26619.453
597,26107.437
598,26137.433
599,25213.848
600,25276.928
601,24665.104
602,24437.805
603,24444.758
604,24000.509
605,23638.912
606,23580.523
607,23034.944
608,23044.95
609,22841.64
610,22727.972
611,22427.864
612,22401.509
613,22047.204
614,21933.333
615,22193.507
616,21698.363
617,21314.61
618,21229.79
619,21526.476
620,20999.643
621,21105.245
622,20664.628
623,20647.433
624,20432.258
625,20605.631
626,20172.634
627,20224.368
628,19717.366
629,19766.867
630,19641.113
631,19382.943
632,19296.162
633,18982.223
634,19050.241
635,18784.087
636,18326.33
637,18445.1
638,18381.011
639,18289.301
640,17865.763
641,18145.993
642,17887.636
643,17807.865
644,18019.65
645,18087.01
646,17912.062
647,17552.275
648,17992.677
649,17870.989
650,17556.671
651,17755.81
652,17229.853
653,17408.728
654,17147.958
655,16785.04
656,16755.298
657,16640.046
658,16578.714
659,16492.915
660,16472.987
661,16427.984
662,16559.954
663,16782.082
664,17041.729
665,16614.466
666,16775.103
667,16918.837
668,17074.92
669,17029.814
670,17041.913
671,16964.781
672,16960.567
673,16920.595
674,17324.153
675,16900.249
676,16738.516
677,16995.091
678,16999.561
679,16841.71
680,17151.652
