EmissionWavelength,Intensity
380,460.74285
381,400.36041
382,438.29451
383,469.9655
384,443.66164
385,432.28743
386,481.73948
387,404.50828
388,449.47753
389,437.67976
390,439.6052
391,442.83668
392,486.6651
393,499.50881
394,542.83959
395,541.87453
396,570.06321
397,582.86173
398,641.84058
399,670.4133
400,719.5712
401,803.69766
402,813.95838
403,903.75459
404,974.25253
405,1090.788
406,1354.6528
407,1533.5381
408,1857.6496
409,2164.9594
410,2488.9385
411,2930.5393
412,3421.6488
413,3957.8298
414,4736.9547
415,5551.804
416,6418.3568
417,7496.4854
418,8652.591
419,9753.2037
420,10661.34
421,11676.064
422,12774.246
423,13824.387
424,14711.065
425,15387.93
426,16390.204
427,17345.811
428,18632.109
429,19951.961
430,21252.903
431,23269.918
432,25086.468
433,27658.902
434,30336.66
435,32822.368
436,36057.653
437,38773.909
438,41395.278
439,44415.949
440,47307.321
441,48764.956
442,50298.22
443,51446.236
444,52513.671
445,53435.478
446,54492.434
447,54947.275
448,56126.044
449,57709.494
450,59476.131
451,61497.706
452,64087.53
453,65696.903
454,68247.843
455,70783.699
456,74009.979
457,76520.723
458,81002.809
459,83451.142
460,87063.227
461,90602.553
462,94675.772
463,96877.819
464,101028.14
465,104206.25
466,107069.15
467,109437.14
468,112671.63
469,114765.82
470,114863.47
471,116263.98
472,115613.19
473,115594.38
474,115766.43
475,114530.28
476,115204.61
477,113164.52
478,114287.25
479,112907.61
480,113181.54
481,112256.21
482,111896.04
483,113096.98
484,111846.07
485,113386.68
486,112570.39
487,110193.89
488,111336.48
489,111370.11
490,112201.02
491,112067.49
492,112646.97
493,114142.06
494,114490.91
495,116768.61
496,116136.98
497,118937.18
498,120528.78
499,123044.26
500,126174.12
501,128676.36
502,131593.23
503,134211.98
504,137669.68
505,140483.55
506,141084.25
507,143122.89
508,142164.02
509,142492.46
510,139589.25
511,138473.91
512,135564.33
513,132889.07
514,129788.34
515,126645.55
516,123587.21
517,119483.39
518,116998.02
519,114035.97
520,112255.85
521,108966.19
522,105030.9
523,104291.49
524,101458.7
525,98517.569
526,98289.737
527,95542.011
528,92746.527
529,91832.972
530,91375.267
531,89258.543
532,87386.034
533,85950.199
534,83746.863
535,82288.354
536,81438.926
537,80403.5
538,80409.815
539,78631.762
540,77026.507
541,76542.186
542,75376.353
543,73720.578
544,72776.773
545,72528.349
546,70482.305
547,69059.479
548,67979.155
549,67618.344
550,66255.874
551,64531.821
552,63747.841
553,61999.932
554,61140.978
555,59636.215
556,59125.497
557,57748.472
558,56100.884
559,55080.589
560,54352.784
561,53275.86
562,52350.433
563,51864.271
564,50404.663
565,49792.551
566,48378.045
567,47334.069
568,46988.998
569,45950.189
570,44908.65
571,44379.031
572,43388.223
573,43381.96
574,42473.6
575,41259.82
576,40893.322
577,40075.315
578,39420.739
579,38804.01
580,38320.004
581,37784.259
582,37323.724
583,35985.199
584,35914.188
585,35541.025
586,34928.524
587,34688.436
588,34082.223
589,33616.912
590,33354.207
591,32919.959
592,32235.726
593,31807.401
594,31924.01
595,31337.208
596,30817.99
597,30715.291
598,30559.315
599,29942.588
600,29264.462
601,29558.976
602,28948.91
603,28894.598
604,28513.284
605,28707.783
606,28218.548
607,27869.529
608,27996.488
609,27833.298
610,27253.688
611,27308.789
612,27240.887
613,27441.498
614,27222.958
615,27123.126
616,27282.668
617,26812.849
618,27173.381
619,27049.411
620,26639.888
621,27144.454
622,26510.452
623,26559.981
624,26485.026
625,26355.331
626,26286.082
627,25927.116
628,26064.604
629,26027.812
630,25820.115
631,25201.602
632,25450.042
633,25572.079
634,25448.161
635,24969.765
636,24876.719
637,24714.085
638,24904.901
639,24361
640,24460.567
641,24378.063
642,24154.037
643,24092.018
644,23741.111
645,24003.325
646,24160.741
647,24126.417
648,24234.702
649,24182.556
650,24021.118
651,24129.926
652,23698.122
653,23609.821
654,23376.062
655,23127.096
656,22705.151
657,22962.834
658,22776.491
659,23024.984
660,22526.923
661,22720.856
662,23075.366
663,23225.094
664,23174.205
665,23405.123
666,23063.766
667,23557.495
668,23720.773
669,24061.357
670,24285.004
671,24118.452
672,23956.833
673,24227.613
674,24190.74
675,24016.136
676,24337.381
677,24431.853
678,24175.623
679,24161.699
680,24551.48
