EmissionWavelength,Intensity
380,284.71153
381,297.85978
382,255.79219
383,301.77351
384,281.98385
385,309.37619
386,267.60333
387,276.36433
388,265.93947
389,328.93808
390,297.1138
391,302.40146
392,309.34694
393,341.46878
394,406.64572
395,343.58208
396,354.76484
397,440.75472
398,458.81698
399,461.3909
400,497.56637
401,505.15302
402,534.09279
403,597.19902
404,614.10645
405,690.56149
406,764.38133
407,824.58957
408,1036.7836
409,1081.9357
410,1308.3086
411,1527.7654
412,1743.0634
413,2090.2805
414,2388.4432
415,2859.3938
416,3256.8054
417,3809.9941
418,4423.7344
419,4907.2768
420,5563.454
421,6234.3788
422,6797.9695
423,7433.4789
424,7846.5743
425,8778.0424
426,9183.0316
427,9924.8694
428,10864.955
429,11898.828
430,13081.896
431,14420.22
432,15729.067
433,17464.876
434,19537.297
435,21384.423
436,23732.394
437,25651.221
438,28011.898
439,30150.725
440,32421.119
441,33786.527
442,35148.176
443,36142.625
444,37477.472
445,38010.372
446,39420.525
447,40009.548
448,41643.958
449,43364.594
450,44915.952
451,46868.423
452,48533.004
453,51396.07
454,53630.016
455,57161.443
456,59408.149
457,62130.641
458,65616.356
459,68733.827
460,71612.198
461,74882.797
462,78308.817
463,80754.107
464,85303.114
465,88750.901
466,92215.04
467,94429.611
468,96711.873
469,98865.832
470,100738.65
471,102530.97
472,103314.41
473,103259.85
474,104378.81
475,103734.1
476,104889.79
477,104392.22
478,104175.77
479,104629.21
480,104828.12
481,105125.15
482,105633.29
483,105674.39
484,106899.47
485,106294.75
486,106989.79
487,106214.65
488,107012.74
489,107151.73
490,107394.76
491,108460.45
492,109669.18
493,111422.5
494,111208.64
495,112363.06
496,114934.47
497,116878.38
498,118959.22
499,122066.72
500,124309.17
501,127405.54
502,130368.93
503,133613.74
504,137477.03
505,139561.64
506,141553.96
507,142270.11
508,142880.72
509,141327.54
510,140194.22
511,137437.62
512,136877.2
513,132678.67
514,130748.39
515,127387.61
516,124832.19
517,121487.34
518,117963.1
519,115636.65
520,112145.31
521,108201.11
522,106860.96
523,105246.81
524,102152.22
525,100319.88
526,99222.474
527,97257.465
528,93875.149
529,93575.374
530,90629.293
531,89651.519
532,88260.061
533,85685.679
534,85222.035
535,82870.519
536,81844.832
537,80530.813
538,78970.142
539,79234.325
540,77454.335
541,76193.203
542,74823.449
543,73910.708
544,72849.337
545,71642.289
546,69785.49
547,68641.34
548,67378.166
549,66855.942
550,65313.153
551,64583.058
552,63444.741
553,61568.232
554,61094.794
555,58842.248
556,58030.931
557,56966.886
558,55809.121
559,54891.855
560,53761.302
561,52995.719
562,51715.656
563,51398.599
564,49488.609
565,49469.497
566,47821.221
567,46614.321
568,45990.548
569,45032.453
570,44909.862
571,43644.776
572,42922.767
573,42054.759
574,41133.017
575,40755.887
576,40134.415
577,39625.582
578,38175.344
579,37713.287
580,37390.38
581,36577.06
582,35928.662
583,35615.172
584,34867.036
585,34560.999
586,33952.369
587,33406.818
588,32907.117
589,32204.716
590,31823.566
591,31600.899
592,30861.076
593,30518.813
594,29959.817
595,30307.205
596,29402.427
597,29046.511
598,28379.231
599,28437.993
600,27393.695
601,27487.603
602,26992.117
603,26669.141
604,26480.731
605,26182.151
606,26372.244
607,26051.358
608,25655.009
609,25764.158
610,25525.927
611,25265.743
612,25082.134
613,24676.128
614,24965.812
615,25057.388
616,24643.373
617,24229.218
618,24473.528
619,24480.564
620,24523.548
621,24171.404
622,24197.837
623,24019.447
624,23543.072
625,23757.739
626,23547.245
627,23889.068
628,22955.219
629,22689.652
630,22567.782
631,22687.472
632,22620.66
633,22588.759
634,22296.501
635,22366.262
636,21868.722
637,21670.993
638,21784.244
639,21675.449
640,21126.58
641,21356.124
642,21388.191
643,21228.063
644,21251.537
645,21232.59
646,21118.547
647,20944.864
648,21124.606
649,21458.748
650,21180.251
651,20905.607
652,20823.643
653,20629.85
654,20308.125
655,19821.281
656,19958.932
657,20133.29
658,19986.628
659,20080.381
660,19786.932
661,19997.542
662,20054.43
663,20330.582
664,20384.83
665,20634.942
666,20461.537
667,20509.745
668,20465.451
669,20675.711
670,20899.466
671,20495.935
672,20435.816
673,20446.226
674,20896.609
675,20702.978
676,20384.214
677,20618.604
678,20884.362
679,20736.039
680,21042.481
